10,3349,寶德科技股份有限公司,寶德,電腦及週邊設備業,－,235 新北市中和區連城路258號14樓之8,97483122,盧賀隆,蔡明勳,蔡明勳,總經理,康忠輝,82271093,86/04/23,93/09/16,新台幣 10.0000元,339974310,33997431,0,0,合併,每年,董事會,日盛證券股份有限公司股務代理部,02-25419977,台北市中山區南京東路二段85號7樓,資誠聯合會計師事務所,馮敏娟,徐永堅,DEXIN,"Lian Cheng Rd NO.258 14F-8,Zhonghe Dist New Taipei City Taiwan",82271058,irish_tseng@mail.dexin.com.tw,www.dexin.com.tw,－,－,－,－,http://www.dexin.com.tw/web/investors/investors.jsp
11,3447,展達通訊股份有限公司,展達,通信網路業,－,新北市三重區光復路二段69號22樓,16045290,呂進宗,陳秋龍,陳秋龍,總經理,林欣泰,02-66260168,86/10/17,110/09/29,新台幣 10.0000元,695466200,69546620,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,陳晉昌,翁世榮,XAVi,"22F., No.69, Sec. 2, Guangfu Rd.,Sanchong Dist., New Taipei City, Taiwan",02-29958167,ir@xavi.com.tw,www.xavi.com.tw,－,－,－,－,www.xavi.com.tw
12,3485,敘(余+卜+又)豐企業股份有限公司,敘豐,光電業,－,(334) 桃園市八德區茄苳路７６０巷１６號,84995500,周坤麟,周坤麟,王慧蘭,財務長,周政均,(03)3646445,83/07/13,101/09/28,新台幣 10.0000元,319550000,31955000,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)27035000,台北市敦化南路二段97號B2,勤業眾信聯合會計師事務所,陳重成,何瑞軒,EF,"NO.16, LANE 760, JIA DUNG ROAD, PA TE,TAOYUAN HSIEN, TAIWAN, R.O.C",(03)3764060,service@efm.com.tw,www.efm.com.tw,－,－,－,－,www.efm.com.tw
13,3585,聯致科技股份有限公司,聯致,電子零組件業,－,(338)桃園市蘆竹區南山路二段498-2號,16742182,李長明,陳福龍,蘇連芳,財會主管,鄧惠文,03-3246000,87/09/07,96/10/25,新台幣 10.0000元,1175486240,117548624,0,0,合併,每年,股東會,宏遠證券股份有限公司股務代理部,(02) 77198899,台北市信義路四段236號3樓,資誠聯合會計師事務所,吳漢期,王國華,AMC,"498-2, Nan San Rd., Sec. 2, Luchu,Taoyuan Hsien, Taiwan",03-3247000,timsu@amcorp.com.tw,http://www.amcorp.com.tw,－,－,－,－,建構中
14,3595,山太士股份有限公司,山太士,光電業,－,(302)新竹縣竹北市中和街191巷15弄1號,89716605,吳學宗,吳家宗,吳家宗,總經理,廖偉志,03-5550999,84/10/03,96/11/16,新台幣 10.0000元,236852820,23685282,0,0,合併,每年,股東會,台新證券股務代理部,(02)25048125,台北市建國北路一段96號地下一樓,致遠聯合會計師事務所,曾瓊慧,呂瑞文,AMC,"No.1, Alley 15, Lane 191, Jhong-He St.,Jhu-Bei City, Hsin Chu County 302,Taiwan",03-5551717,phill@amctape.com,http://www.amctape.com,－,－,－,－,http://www.amctape.com
15,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
16,3603,建祥國際股份有限公司,建祥國際,電子通路業,－,(242)新北市新莊區五權一路3號之4,80337786,陳銘銓,陳銘銓,藍金財,協理,曾麗玉,02-22983377,91/07/04,97/01/09,新台幣 10.0000元,248442640,24844264,13025000,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-27023999,106台北市大安區敦化南路二段97號B2,廣信益群聯合會計師事務所,彭(系秀)娟,黃健豪,UC&GN,"No.3-4, Wuquan 1st Rd., Xinzhuang Dist.,New Taipei City 242, Taiwan (R.O.C.)",02-22980077,bruce.lan@uc-gn.com,http://www.uc-gn.com,－,－,－,－,無
17,3627,華信光電科技股份有限公司,華信科,光電業,－,桃園巿平鎮區中興路平鎮段458號9樓,28621753,蘇元良,林盷諭,林盷諭,總經理,任德翔,(03)469-9800,96/03/14,102/03/26,新台幣 10.0000元,281735280,28173528,0,0,個別,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,徐潔如,徐聖忠,ALC,"9F., No.458, Sec. Pingzhen, Zhongxing Rd., Pingzhen Dist.,Taoyuan City 324, Taiwan (R.O.C.)",(03)469-9600,investment@arimalasers.com,http://www.arimalasers.com,－,－,－,－,http://www.arimalasers.com/investor.aspx
18,3633,云光科技股份有限公司,云光,光電業,－,302新竹縣竹北市新泰路35號5樓之1,16177616,許家滂,劉古煥,王秉玉,經理,許富雄,03-5545488,86/11/13,97/08/06,新台幣 10.0000元,340236430,34023643,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-2702-3999,台北市敦化南路二段97號地下2樓,安侯建業聯合會計師事務所,韓沂璉,簡蒂暖,ECC,"5-1F,No.35, Hsin-Tai Rd.Chupai City, Hsinchu Hsien, Taiwan(302)",03-5545489,fuhsiunghsu@epoch-optic.com,http://www.epoch-optic.com/,－,－,－,－,http://www.epoch-optic.com/investor.php
19,3659,百辰光電股份有限公司,百辰,光電業,－,114062台北市內湖區瑞光路26巷20弄28號3樓,80493934,賴孟修,林百祁,曾繁宜,協理,何宜芳,02-6600-6610,92/07/07,98/10/19,新台幣 10.0000元,492034890,49203489,0,0,合併,每年,董事會,台新證券股務代理部,02-25048125,104496台北市建國北路一段96號地下一樓,安侯建業聯合會計師事務所,江曉苓,郭柔蘭,Bison,"3F., No.28, Aly. 20, Ln. 26, Ruiguang Rd., Neihu DistTaipei City 114062, Taiwan (R.O.C.)",02-6600-6617,otto_tseng@bisontech.com.tw,http://www.bisontech.com.tw,－,－,－,－,http://www.bisontech.com.tw/investors.html
20,3678,聯享光電股份有限公司,聯享,光電業,－,302新竹縣竹北市環北路三段199號,12767387,賴俊光,賴俊光,黃淑美,協理,周佳禾,03-6561668,90/03/19,98/10/22,新台幣 10.0000元,234000000,23400000,0,0,個別,每年,股東會,中國信託商業銀行代理部,02-66365566,100台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,蔡美貞,陳明煇,Ushine,"No.199, Sec. 3, Huanbei Rd.Zhubei City, Hsinchu 302, Taiwan, R.O.C.",03-6561568,fin@ushine.com.tw,www.ushine.com.tw,－,－,－,－,www.ushine.com.tw
21,4537,旭東機械工業股份有限公司,旭東,光電業,－,42152台中市后里區后里里后科南路30號,56690647,莊添財,莊添財,戴琦倩,董事長室 特別助理,呂海淋,04-25561000,72/05/17,101/05/03,新台幣 10.0000元,788400000,78840000,0,0,合併,每年,股東會,日盛證券股份有限公司,02-25419977,台北市中山區南京東路二段85號7樓,安侯建業聯合會計師事務所,郭士華,陳政學,STMC,"No.30, Houke S. Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)Taichuang,Taiwan",04-25561889,stmc@shuztung.com.tw,http://www.wisepioneer.com.tw,－,－,－,－,
22,4577,達航科技股份有限公司,達航,其他電子業,－,臺北市內湖區基湖路35巷49號6樓之1,86078580,翁榮隨,陳柏棋,孫逸敏,副總經理,劉智鴻,04-26810607,80/02/25,109/10/27,新台幣 10.0000元,430132850,43013285,0,0,合併,每年,股東會,康和綜合證券股份有限公司,(02)8787-1118,110台北市信義區基隆路一段176號B1,勤業眾信聯合會計師事務所,楊清鎮,龔則立,Ofuna,"NO.21,KOUN 1ST RDTACHIA,TAICHUNG CITY, TAIWAN, 437",04-26822587,shunym@ofunatech.com,www.ofunatech.com,－,－,－,－,www.ofunatech.com
23,4582,聚恆科技股份有限公司,聚恆,光電業,－,臺南市永康區永科環路168號,16452612,周恒豪,周恒豪,周曉艷,協理,周恒守,06-2022202,87/04/16,108/09/30,新台幣 10.0000元,600000000,60000000,0,0,合併,每年,董事會,統一證券股務代理部,02-27478266,臺北市松山區東興路8號B1樓,資誠聯合會計師事務所,田中玉,劉子猛,HENGS,"No.168, Yongkehuan Rd., Yongkang Dist.,Tainan City 71041, Taiwan (R.O.C.)",06-2012520,angel13@hengs.com,http://www.hengs.com,－,－,－,－,http://www.hengs.com/stakeholder.html
24,4923,力士科技股份有限公司,力士,半導體業,－,(248)新北市五股區中興路一段10號9樓之1,28733011,張晉誠,鍾明道,鍾秉家,副總經理,林祐年,02-8976-9223,96/06/11,99/06/30,新台幣 10.0000元,250000000,25000000,0,0,個別,每年,股東會,宏遠證券股份有限公司,02-7719-8899,台北市信義路4段236號3樓,安侯建業聯合會計師事務所,寇惠植,郭欣頤,Force Mos,"9F.-1, No.10, Sec. 1, Zhongxing Rd., Wugu Dist.,New Taipei City 248, Taiwan (R.O.C.)",02-8976-9335,anderson@force-mos.com,http://www.force-mos.com,－,－,－,－,http://www.force-mos.com
25,4925,智微科技股份有限公司,智微,半導體業,－,(30076)新竹科學園區新竹縣創新一路13號1樓,12901841,劉立國,劉立國,溫明君,副總經理,林雅萱,886-3-5797389,90/09/21,99/10/28,新台幣 10.0000元,581655440,58165544,0,0,合併,每年,股東會,宏遠證券股份有限公司,02-23268818,106台北市信義路四段236號3樓,致遠聯合會計師事務所,曾瓊慧,曾瑞燕,JMicron,"1F,No.13,Innovation Road 1,Hsinchu Science ParkHsinchu,Taiwan,R.O.C.",886-3-5799566,jmstock@jmicron.com,www.jmicron.com,－,－,－,－,www.jmicron.com
26,4951,精拓科技股份有限公司,精拓科,半導體業,－,(302)新竹縣竹北市台元街36號3樓之7,80333472,陳神寶,黃德燻,陳神寶,董事長,陳贈文,(03)5600168,91/05/10,99/06/29,新台幣 10.0000元,301563130,30156313,0,0,合併,每年,股東會,兆豐證券股份有限公司,(02)33930898,台北市忠孝東路二段95號1樓,資誠聯合會計師事務所,江采燕,林玉寬,Fintek,"3F-7,No.36,Tai Yuen St.,Chupei City,Hsinchu,Taiwan,R.O.C",(03)5600166,Kris_chen@fintek.com.tw,http://www.fintek.com.tw,－,－,－,－,http://www.fintek.com.tw
27,4980,佐臻股份有限公司,佐臻,電子零組件業,－,(22161)新北市汐止區大同路一段239號17樓之1,97430202,梁文隆,梁文隆,林文雄,副總,林雅雯,(02)2649-0055,86/03/10,99/11/16,新台幣 10.0000元,332041090,33204109,0,0,合併,每半會計年度,董事會,第一金證券股份有限公司,02-25635711,台北市大安區安和路一段27號6樓,勤業眾信聯合會計師事務所,郭乃華,池瑞全,JORJIN,"17F, No.239-1, Sec. 1, Datong Rd., Xizhi Dist.,New Taipei City 22161, Taiwan, R.O.C.",(02)2642-5477,public@jorjin.com.tw,http://www.jorjin.com,－,－,－,－,http://www.jorjin.com
28,5228,鈺鎧科技股份有限公司,鈺鎧,電子零組件業,－,台中市南屯區精科東路15號,86667046,黃其集,黃其集,黃文結,財務部經理,林杏津,04-23592860,81/05/21,104/03/26,新台幣 10.0000元,335792530,33579253,0,0,個別,每年,股東會,永豐金證券股務代理部,02-23816288,台北市博愛路17號3樓,資誠聯合會計師事務所,王玉娟,劉美蘭,MAX ECHO,"No.15, Jingke E. Road, Nantun Dist.,Taichung, Code:40852Taichung, Taiwan",04-23592856,erichuang@maxecho.com.tw,http://www.maxecho.com.tw,－,－,－,－,http://www.maxecho.com.tw
29,5233,有量科技股份有限公司,有量,其他電子業,－,(333)桃園市龜山區茶專路6號,70498018,雲惟傑,李誌誠,李誌誠,總經理,袁山浩,03-2631212,89/05/01,100/06/28,新台幣 10.0000元,2772494060,277249406,0,0,合併,每年,股東會,永豐金證券(股)公司 股務代理部,02-23823376,台北市博愛路17號3樓,資誠聯合會計師事務所,林佳鴻,王方瑜,Amita,"No.6, Chazhuan Rd., Guishan Dist.Tao-Yuan City,Taiwan",03-3200638,andy.huang@amitatech.com,www.amitatech.com.tw,－,－,－,－,www.amitatech.com.tw/tw/investor.php
30,5240,建騰創達科技股份有限公司,建騰,光電業,－,11493 台北市內湖區堤頂大道二段407巷20弄1號7F,80503736,朱伯倫,朱伯倫,郭泰成,營運長,林良芬,(02)2656-2588,92/08/01,100/06/22,新台幣 10.0000元,354816850,35481685,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,鄧聖偉,潘慧玲,ACTi,"7F., No.1, Alley 20, Lane 407, Sec.2, Tiding BlvdNeihu District, Taipei 114, Taiwan, ROC",(02)2656-2599,IR@acti.com,http://www.acti.com,－,－,－,－,
31,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
32,5244,弘凱光電股份有限公司,弘凱,光電業,－,(33051)桃園市桃園區春日路1492號7樓,27877550,黃建中,黃建中,吳志明,副董事長,邱百毅,03-357-9118,94/08/24,101/01/05,新台幣 10.0000元,603940800,60394080,0,0,合併,每年,股東會,宏遠證券股份有限公司,(02)23268818,台北市信義路四段236號3樓,安永聯合會計師事務所,張正道,謝勝安,BRIGHTEK,"7F., NO.1492, Chunri Rd., Taoyuan City,Taoyuan County 33051 , Taiwan R.O.C.",03-357-9116,IR@brightek.com,www.brightek.com,－,－,－,－,www.brightek.com
33,5248,景傳光電股份有限公司,景傳,光電業,－,(23141)新北市新店區民權路52號9樓,16834289,翁世豪,顏志明,顏志明,總經理,謝祁凌,29189820,88/01/15,100/09/06,新台幣 10.0000元,190920000,19092000,0,0,個別,每年,股東會,台新證券股務代理部,02-25048125,台北市中山區建國北路一段96號地下一樓,安侯建業聯合會計師事務所,李禾方儀,周寶蓮,PIXON,"9F., No.52, Minquan Rd.Xindian Dist., New Taipei City, Taiwan",29189823,stock@pixon.com.tw,www.pixon.com.tw,－,－,－,－,架設中
34,5254,欣訊科技股份有限公司,欣訊科技,電子零組件業,－,新北市汐止區大同路二段173號10樓,86731791,黃道明,黃道明,黃劍文,副總經理,陳興雯,86926267,81/07/02,108/01/08,新台幣 10.0000元,205516240,20551624,0,0,合併,每年,董事會,兆豐證券股份有限公司,33930898,台北市忠孝東路二段95號1樓,安侯建業聯合會計師事務所,鄭安志,余聖河,CENLINK,"10F,No.173,Sec.2,Ta Tung Road, Hsi Chih District.New Taipei City,Taiwan, R.O.C.",86926265,spencer@cenlink.com.tw,http://www.cenlink.com.tw,－,－,－,－,http:www.cenlink.com.tw
35,5262,立達國際電子股份有限公司,立達,半導體業,－,台北市內湖區新湖二路166號4樓,25104761,王立民,王立民,何弘竣,副總經理,劉煥廷,02-26582588,99/02/11,102/10/21,新台幣 10.0000元,506985820,50698582,0,0,合併,每年,股東會,統一綜合證券股份有限公司,02-27463797,105 台北市松山區東興路8號B1樓,安侯建業聯合會計師事務所(KPMG),施威銘,唐慈杰,GST,"4F., No. 166, Xinhu 2nd Rd., Neihu DistrictTaipei City 114,Taiwan (R.O.C)",02-26582015,investor@gigastone.com.tw,www.gigastone.com,－,－,－,－,www.gigastone.com
36,5267,龍翩真空科技股份有限公司,龍翩,光電業,－,(435)台中市梧棲區草湳里大通路二號,27390847,主吉投資有限公司代表人楊吉祥,陳景龍,楊吉祥,法人董事之代表人,吳存仁,(04)26595018,93/07/05,101/02/24,新台幣 10.0000元,255000000,25500000,0,0,合併,每年,股東會,第一金證券股份有限公司,(02)25635711,台北市長安東路一段22號5樓,安永聯合會計師事務所,陳明宏,嚴文筆,LUNG PIEN,"No.2 DATONG RD.,C.E.P.Z. WU-CHITAICHUNG,TAIWAN",(04)26595012,service@lp-vacuum.com.tw,http://www.lp-vacuum.com,－,－,－,－,http://www.lp-vacuum.com
37,5271,紘通企業股份有限公司,紘通,電子零組件業,－,(248)新北市五股區中興路一段8號3樓之7之8,16576851,闕壯練,黃俊華,沈勝傑,財務處經理,林秋怡,89769168,87/08/18,101/03/06,新台幣 10.0000元,471909060,47190906,0,0,合併,每年,股東會,中國信託商業銀行股務代理部,(02)6636-5566,台北市100重慶南路一段83號5樓,安永聯合會計師事務所,鄭清標,洪茂益,HORNG TONG,"3F Unit 7-8,Zhong-Xing Road,Section 1 Wugo Dist,New Taipei City,Taiwan",89769169,mark.shen@hometom.com.tw,http://www.hometom.com.tw,－,－,－,－,http://www.hometom.com.tw/contact.php
38,5277,葳天科技股份有限公司,葳天,光電業,－,桃園市中壢區西園路89號,27473918,陳炫彬,邢陳震崙,邢陳震崙,總經理,王淳儒,03-4618618,93/10/22,103/09/24,新台幣 10.0000元,680620000,68062000,21000000,0,合併,每年,股東會,宏遠證券股份有限公司,02-23268818,台北市信義路四段236號3樓,資誠聯合會計師事務所,李典易,梁華玲,ProLight,"No.89,Xiyuan Rd.Zhongli City,Taoyuan County,Taiwan",03-4618677,investor@prolightopto.com,www.prolightopto.com,－,－,－,－,investor@prolightopto.com
39,5297,廣化科技股份有限公司,廣化,半導體業,－,台灣新竹縣新豐鄉康樂路一段169-2號3樓,16436867,張維仲,魯碧華,魯碧華,總經理,羅于軫,(03)5577668,87/02/04,106/02/21,新台幣 10.0000元,235070000,23507000,0,0,合併,每年,股東會,亞東證券股份有限公司,(02)77531699,新北市板橋區新站路16號13樓,勤業眾信聯合會計師事務所,高逸欣,陳明煇,3S,"3F, 169-2, Sec. 1, Kangle Road, Xinfeng Township,Hsinchu County, Taiwan, R.O.C.",(03)5577658,jane.lo@sss-tech.com.tw,www.sss-tech.com.tw,－,－,－,－,http://www.sss-tech.com.tw/big5/Investor_01.asp
40,6272,驊陞科技股份有限公司,驊陞,電子零組件業,－,(221)新北市汐止區大同路一段237號15樓之1,23610975,陳宏欽,陳正煌,陳正煌,總經理,胡育瑋,02-26471896,79/01/13,91/12/24,新台幣 10.0000元,666639480,66663948,0,0,合併,每年,董事會,宏遠證券股份有限公司,(02)7719-8899,(106)台北市信義路4段236號3樓,勤業眾信聯合會計師事務所,池瑞全,陳慧銘,WIESON,"15F.-1, NO.237, SEC.1, Datong RD.New Taipei City,Taiwan(R.O.C.)",02-26476342,connectors@wieson.com,www.wieson.com,－,－,－,－,www.wieson.com
41,6403,群登科技股份有限公司,群登,通信網路業,－,新北市樹林區博愛街242號9樓,24399520,鍾依華,許佳榮,許佳榮,執行長,邱文正,02-86859877,98/05/01,101/10/26,新台幣 10.0000元,366355350,36635535,15180000,0,個別,每年,股東會,國票綜合證券(股)公司股務代理部,(02)2528-8988,台北市松山區南京東路五段188號15樓,安侯建業聯合會計師事務所,郭欣頤,寇惠植,AcSiP,"9F., No.242, Bo'ai st., Shulin Dist.,New Taipei City 238005, Taiwan",02-86859577,samhsu@acsip.com.tw,http://www.acsip.com.tw,－,－,－,－,http://www.acsip.com.tw
42,6407,相互股份有限公司,相互,電子零組件業,－,新北市新莊區化成路195巷25號,23810592,陳旭東,張智明,林維鵬,協理,吳美芳,02-22763210,79/07/19,102/03/29,新台幣 10.0000元,783875000,78387500,0,0,合併,每年,股東會,中國信託商業銀行股務代理部,02)6636-5566,台北市中正區重慶南路一段八十三號五樓,勤業眾信聯合會計師事務所,呂宜真,林宜慧,Mutual-Tek,"No.25, Ln. 195, Huacheng Rd., Xinzhuang Dist.New Taipei City 242, Taiwan (R.O.C.)",02-29922374,birdlin@mutualtek.com.tw,http://www.mutualtek.com.tw,－,－,－,－,無
43,6423,億而得微電子股份有限公司,億而得,半導體業,－,新竹縣竹北市台元街28號7樓之2,12894399,黃文謙,黃文謙,楊明蒼,副總經理,鄭玥姝,03-5526035,90/09/04,103/10/23,新台幣 10.0000元,268100000,26810000,0,0,個別,每年,股東會,元大證券(股)公司股務代理部,02-25865859,台北市大同區承德路三段210號B1樓,勤業眾信聯合會計師事務所,鍾鳴遠,蔡美貞,YMC,"7F-2, No.28, Tai-Yuen St., Chu-Pei City, Hsin-Chu County, Taiwan, R.O.C.Hsin-Chu County, Taiwan, R.O.C.",03-5526036,ir@ymc.com.tw,www.ymc.com.tw,－,－,－,－,http://www.ymc.com.tw/ch/inverstor_Relations.html
