,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
10,2496,卓越成功股份有限公司,卓越,其他,－,台北市中正區許昌街17號15樓之1,22099786,陳明俊,曾淑鈴,曾淑鈴,總經理,羅湘怡,(02)2389-9200,80/06/15,91/03/08,新台幣 10.0000元,191004400,19100440,0,0,合併,每年,股東會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,施錦川,劉書琳,SPC,"15F.-1, No. 17, Xuchang St.,Zhongzheng Dist., Taipei, Taiwan(R.O.C.)",(02)2388-4161,public@chenliedu.com,https://www.chenliedu2496.com/tw/,羅湘怡,會計主管,(02)2389-9200,iris@chenliedu.com,https://www.chenliedu2496.com/tw/公司治理/公司治理-利害關係人
11,2514,龍邦國際興業股份有限公司,龍邦,其他,－,台北市中正區忠孝西路一段50號9樓,22817273,劉偉龍,劉偉龍,李淑惠,副總經理,待指派,(02)23756595,77/01/22,81/09/26,新台幣 10.0000元,3947292780,394729278,0,0,合併,每年,股東會,元大證券股份有限公司股務代理部,(02)25865859,10366 台北市大同區承德路三段210號B1,安侯建業聯合會計師事務所,張淑瑩,吳美萍,LONG BON,"9F., No.50, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist.,Taipei City 100, Taiwan (R.O.C.)",(02)23756326,080@longbon.com.tw,http://www.longbon.com.tw,李淑惠,副總經理,02-2375-6155,shareholder@longbon.com.tw,http://www.longbon.com.tw
12,2614,東森國際股份有限公司,東森,其他,－,台北市復興南路一段368號8樓,04964250,廖尚文,廖尚文,鄭應娜,副總經理,呂正果,2755-7565,64/05/14,84/09/23,新台幣 10.0000元,5289503950,528950395,0,0,合併,每年,董事會,統一綜合證券(股)公司股務代理部,2746-3797,台北市松山區東興路8號地下一樓,安侯建業聯合會計師事務所,池世欽,黃欣婷,EMIC,"8F,NO.368 FU HSING S. RD., SEC.1TAIPEI, TAIWAN 106",2702-8079,emic@emic.com.tw,http://www.emic.com.tw,沈耀祖,協理,2755-7565,ir@emic.com.tw,http://www.emic.com.tw/www/index.php?action=contact&id=109
13,2904,匯僑股份有限公司,匯僑,其他,－,台北市民生東路三段一三一號五樓,12195466,廖述群,葉唐榮,梁世詮,行政管理處協理,李明娟,27174347,67/10/11,72/01/05,新台幣 10.0000元,690344320,69034432,0,0,合併,每年,股東會,統一綜合證券股份有限公司,(02)2746-3797,台北巿松山區東興路8號B1樓,資誠聯合會計師事務所,黃珮娟,潘慧玲,POCS,"5F, No.131, Sec. 3, Min Seng E. Rd.,Taipei, R.O.C",27189474,service@pocs.com.tw,http://www.pocs.com.tw,梁世詮,行政管理處協理,02-2717-4347*618,ir@pocs.com.tw,http://www.poc.com.tw/tw/manpower/stakeholder.aspx
14,3040,遠見科技股份有限公司,遠見,其他,－,新北市板橋區文化路二段287號35樓,22050221,周至元,舒偉仁,羅美玲,稽核室主任,洪秋萍,2257-8866,75/05/15,91/08/26,新台幣 10.0000元,630000000,63000000,0,0,合併,每年,股東會,元大證券股務代理部,02-25865859,台北市大同區承德路三段210號B1,勤業眾信聯合會計師事務所,林文欽,劉建良,G.V.,"35F., No.287, Sec. 2, Wenhua Rd., Banqiao Dist.,New Taipei City 220, Taiwan (R.O.C.)",2257-8876,stocks@mail.gv.com.tw,http://www.gv.com.tw,羅美玲,稽核室主任,(02)2257-8866,meiling@gv.com.tw,http://www.gv.com.tw/relation.php
15,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
16,3557,嘉威生活股份有限公司,嘉威,其他,－,臺北市大安區信義路4段296號14樓之4,27717512,陳碩璨,吳世偉,柯愛惠,營運長,林仁乙,02-77335368,94/04/21,97/02/27,新台幣 10.0000元,803004150,80300415,11730163,0,合併,每半會計年度,董事會,富邦綜合證券(股)公司,(02)2361-1300,台北市10047許昌街17號2樓(壽德大樓),安永聯合會計師事務所,陳政初,李芳文,JiaWei,"14F.-4, NO. 296, SEC. 4, XINYI RD., DA’AN DIST.,TAIPEI CITY 10679, TAIWAN, R.O.C.",02-77335369,services@jiaweils.com,www.jiaweils.com,林仁乙,公司治理部經理,02-77335368#116,lorilin@jiaweils.com,www.jiaweils.com
17,4536,拓凱實業股份有限公司,拓凱,其他,－,(408)台中市南屯區工業區20路18號,52590175,沈文振,沈貝倪,邱哲民,發言人,張秋森,04-23591229,69/07/11,102/10/09,新台幣 10.0000元,908200000,90820000,0,0,合併,每半會計年度,股東會,永豐金證券股份有限公司,02-23816288,臺北市博愛路17號3樓,勤業眾信聯合會計師事務所,吳少君,曾棟鋆,TOPKEY,"NO18, 20TH ROAD,INDUSTRIAL PARKTAICHUNG, TAIWAN",04-23593778,zoe@topkey.com.tw,http://www.topkey.com.tw,邱哲民,發言人,04-23591229 #2170,jc@topkey.com.tw,http://www.topkey.com.tw/www/_chinese/10_responsibility/01_detail.php?pid=6
18,5284,經寶精密控股股份有限公司,jpp-KY,其他,KY 開曼群島,台北市中山區松江路152號11樓1112室,41173259,鍾國松,鍾國松,鍾國圳,副總經理,陳信源,02-25415566,101/05/17,106/03/09,新台幣 10.0000元,436646080,43664608,0,0,合併,每年,股東會,第一金證券股務部,02-2563-5711,台北市大安區安和路一段27號6樓,勤業眾信聯合會計師事務所,龔則立,楊清鎮,jpp,"One Nexus Way, Camana Bay, Grand Cayman, KY1-9005Cayman Islands",02-25412332,kc_chung@jinpao.co.th,http://www.jppholding.com,洪健凱,投資人關係經理,02-25415566,5284cash@gmail.com,http://www.jppholding.com/10-1.html
19,5871,中租控股股份有限公司,中租-KY,其他,KY 開曼群島,台北市內湖區瑞光路362號(訴訟及非訟代理人聯絡處),26389569,陳鳳龍,陳鳳龍,廖英智,執行副總經理,陳文正,02-87526388,98/12/24,100/12/13,新台幣 10.0000元,16003944320,1450394432,0,150000000,合併,每年,股東會,群益金鼎證券股務代理部,02-27023999,(106)台北巿大安區敦化南路2 段97 號B2,安侯建業聯合會計師事務所,林琬琬,許淑敏,Chailease,"No. 362 Rueiguang Rd., Neihu Dist.,Taipei, Taiwan",02-87526280,PRD@chailease.com.tw,http://www.chaileaseholding.com/,樊梅芳,副總經理,02-87526388 ext72529,ir@chailease.com.tw,http://www.chaileaseholding.com/ugC_CR-01-03.asp
20,6165,浪凡網路科技股份有限公司,浪凡,其他,－,臺北市松山區八德路2段400號6樓之2,04386575,邱建誠,王冠中,邱建誠,董事長,陳華滋,(02)2731-0868,62/04/18,92/08/04,新台幣 10.0000元,532424030,53242403,3560000,0,合併,每年,董事會,福邦證券(股)公司股務代理部,(02)2383-6888,台北市中正區忠孝西路一段6號6樓,安侯建業聯合會計師事務所,林恒昇,楊樹芝,Lang,"Rm. 2, 6F., No.400, Sec.2, Bade Rd., Songshan Dist.,Taipei City 105, Taiwan (R.O.C.)",(02)2731-1508,investor@jyetai.com,www.jyetai.com,邱建誠,董事長,(02)2731-0868,investor@jyetai.com,http://www.jyetai.com/msg/message-投資人關係處理窗口-28.html
21,6184,大豐有線電視股份有限公司,大豐電,其他,－,新北市土城區中華路二段207號5樓,96974228,張銘志,張銘志,劉家君,法務室副總,林美足,(02)8253-8888,85/03/11,94/02/15,新台幣 10.0000元,1582306570,158230657,0,0,合併,每半會計年度,股東會,宏遠證券股份有限公司,(02)2326-8818,台北市信義路4段236號3樓,資誠聯合會計師事務所,林鈞堯,吳漢期,Dafeng TV Ltd.,"5F., No.207, Sec. 2, Zhonghua Rd.,Tucheng Dist., New Taipei City,Taiwan",(02)2266-1234,lydialiu@dmg.tv,http://www.dafeng.tv,劉家君,法務室副總,(02)8253-8888-4200,lydialiu@dmg.tv,http://www.dafeng.tv/company/index.php?d=18
22,6464,台灣數位光訊科技股份有限公司,台數科,其他,－,台中市西屯區文心路二段201號6樓之6,28371951,廖紫岑,廖紫岑,廖紫岑,董事長,林淑鈴,04-37050000,95/08/02,104/12/16,新台幣 10.0000元,1303100370,130310037,0,0,合併,每半會計年度,股東會,台新證券股務代理部,02-2504-8125,台北市中山區建國北路一段96號地下一樓,勤業眾信聯合會計師事務所,吳麗冬,曾棟鋆,top MSO,"6F.-6, No.201, Sec. 2, Wenxin Rd., Xitun DistTaichung City 407, Taiwan (R.O.C.)",04-37056418,sandy@topmso.com.tw,www.topmso.com.tw,林淑鈴,財務長,0437050000,6464@topmso.com.tw,http://www.topmso.com.tw/investors.php
23,6504,南六企業股份有限公司,南六,其他,－,高雄市燕巢區角宿里四林路699號,75989858,黃清山,黃清山,張三華,副總經理,陳士玄,07-6116616,67/12/01,102/05/07,新台幣 10.0000元,726000000,72600000,0,0,合併,每年,股東會,元大證券股務代理部,02-25865859,台北市承德路三段210號B1,資誠聯合會計師事務所,林姿妤,田中玉,NAN LIU,"No.699 Silin Road, Yanchao District, KAOHSIUNG,TAIWAN, R.O.C.",07-6168938,jin@nanliugroup.com,www.e-nonwoven.com.tw,莊春金,經理,07-6116616,jin@nanliugroup.com,http://www.e-nonwoven.com.tw/stakeholder.php
24,6581,台灣鋼聯股份有限公司,鋼聯,其他,－,彰化縣伸港鄉彰濱工業區線工北一路36號,89528054,林明儒,方彥斌,林琨傑,管理處經理,趙玉巧,(04)7586136,84/05/24,107/01/30,新台幣 10.0000元,1112708870,111270887,0,0,合併,每年,董事會,中國信託商業銀行代理部,,臺北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,吳少君,蔣淑菁,TSU,"No.36, Siangong N. 1st Rd., Shengang TownshipChanghua County 50953, Taiwan",(04)7586135,csr@tsutw.com.tw,https://www.tsutw.com.tw/,林琨傑,管理處經理,(04)7586136,csr@tsutw.com.tw,
25,6592,和潤企業股份有限公司,和潤企業,其他,－,台北市中山區松江路121號15樓,16844548,劉源森,林彥良,廖文忠,副總經理,廖欽佐資深經理,02-2502-4567,88/05/25,108/12/09,新台幣 10.0000元,5150004070,515000407,0,0,合併,每年,股東會,台新證券股務代理部,02-2504-8125,台北市中山區建國北路一段96號地下一樓,資誠聯合會計師事務所,王方瑜,林瑟凱,HOTAI FINANCE,"15F,No.121,Sung Chiang Rd.,Taipei,Taiwan,R.O.C.",02-2501-0095,HFC-INVESTOR@hfcfinance.com.tw,https://www.hfcfinance.com.tw,廖文忠,副總經理,02-2502-4567,HFC-INVESTOR@hfcfinance.com.tw,https://www.hfcfinance.com.tw/HFCIPO/zh-TW/Investor/MonthlyRevenue
26,6625,必應創造股份有限公司,必應,其他,－,臺北市內湖區新湖一路370號3樓,54663862,周佑洋,周佑洋,梁秀雯,法務總監,張瑞娟,27940259,103/01/02,107/02/07,新台幣 10.0000元,449734440,44973444,0,0,合併,每年,股東會,凱基證券股份有限公司股務代理部,02-23892999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,許秀明,葉淑娟,Binlive,"3F., No.370, Xinhu 1st Rd., Neihu Dist., Taipei City 11494, TaiwanTaiwan",27909644,binspokesman@bin-live.com,http://www.bin-live.com/,梁秀雯,法務總監,(02)27940259#107,lianneliang@bin-live.com,http://www.bin-live.com/
27,6641,基士德科技股份有限公司,基士德-KY,其他,KY 開曼群島,"高雄市鼓山區民利街15,17,19號(台灣分公司)",82703128,謝宏炅,謝宏炅,吳武雄,財務部協理,謝牧君,(07)5528802,102/10/03,107/09/21,新台幣 10.0000元,370000000,37000000,0,0,合併,每年,股東會,永豐金證券股務代理部,(02)23816288,台北市博愛路17 號3樓,勤業眾信聯合會計師事務所,黃堯麟,吳美慧,GSD-KY,"No.15,17,19, Minli St., Gushan Dist.,Kaohsiung City 804, Taiwan (R.O.C.)",(07)5529206,ir@gsd.net.tw,http://www.gsd.net.tw/,吳武雄,財務部協理,0916856641,ir@gsd.net.tw,http://www.gsd.net.tw/list.php?pid=7&ty=13
28,6655,科定企業股份有限公司,科定,其他,－,新北市三重區光復路2段69號16樓,80214519,曹憲章,曹憲章,林大政,副總經理,蔡昇航,02-22963999,91/07/22,107/11/28,新台幣 10.0000元,739685000,73968500,0,0,合併,每半會計年度,董事會,中國信託商業銀行代理部,02-66365566,台北市中正區重慶南路一段83號5樓,勤業眾信,簡明彥,莊碧玉,KD,"16F., No.69, Sec. 2, Guangfu Rd., Sanchong Dist.,New Taipei City 241, Taiwan (R.O.C.)",02-85111216,kdstock@twkd.com,http://www.twkd.com,林美妏,財務主管,02-22963999,ir@twkd.com,http://www.twkd.com/tw/ir_menu.php
29,6670,復盛應用科技股份有限公司,復盛應用,其他,－,台北市中山區南京東路二段172號3樓,53091900,李亮箴,江慶生,許廷儀,財務總監,陳品言,03-3635370,99/09/14,107/12/18,新台幣 10.0000元,1310300000,131030000,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市中山區建國北路一段96號B1,安永聯合會計師事務所,林素雯,涂嘉玲,FSP,"3F.,No.172,Sec.2,Nanking E.Rd.,Zhongshan Dist.,Taipei City,Taiwan (R.O.C)",03-3618026,investor_service@fusheng.com.tw,https://www.fusheng-precision.com/,許廷儀,財務總監,03-3635370,investor_service@fusheng.com.tw,https://www.fusheng-precision.com/
30,6671,三能集團控股股份有限公司,三能-KY,其他,KY 開曼群島,臺中市大里區工業八路58號,82517356,張瑞榮,張瑞榮,蕭凱峰,財務長,張心怡,(04)2492-5850,104/04/29,107/12/11,新台幣 10.0000元,607500000,60750000,0,0,合併,每年,股東會,兆豐證券股份有限公司,(02)3393-0898,台北市中正區忠孝東路二段95號,勤業眾信聯合會計師事務所,張耿禧,陳薔旬,San Neng-KY,"No.58, Gongye 8th Rd., Dali Dist.Taichung City, Taiwan (R.O.C.)",(04)2492-2077,SNGIR@sanneng.com.tw,https://www.sannenggroup.com/,蕭凱峰,財務長,0928-135680,SNGIR@sanneng.com.tw,https://www.sannenggroup.com/2_investment.html
31,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
32,6754,匯僑室內裝修設計股份有限公司,匯僑設計,其他,－,台北市松山區南京東路四段75號12樓,24775812,王秀卿,楊信力,羅月華,財務長,張敏慧,(02)2545-6011,103/12/09,109/08/25,新台幣 10.0000元,660000000,66000000,0,0,合併,每年,董事會,凱基證券股務代理部,02-2389-2999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,呂宜真,陳慧銘,Rich Honour,"12F., No. 75, Sec. 4, Nanjing E. Rd., Songshan Dist.,Taipei City 105, Taiwan (R.O.C.)",(02)2545-2126,IR@richhonour.com,www.richhonour.com,羅月華,財務長,(02)2545-6011,IR@richhonour.com,www.richhonour.com
33,6768,志強國際企業股份有限公司,志強-KY,其他,KY 開曼群島,台中市西屯區市政北五路266號3樓,88173202,陳維家,陳維家,麥班達,董事長特助,古富昇,(04)22585388,106/03/28,110/04/22,新台幣 10.0000元,1960456170,196045617,0,0,合併,每年,股東會,元大證券股份有限公司股務代理部,(02)25865859,台北市承德路三段210號地下一樓,勤業眾信聯合會計師事務所,蔣淑菁,吳少君,SPG-KY,"3F., NO.266, SHIZHENG N. 5TH RD., XITUN DIST.,TAICHUNG CITY 40756, TAIWAN (ROC)",(04)22589088,SPG.IR@spg-sportsgear.com,http://www.sportsgear.com.tw/,麥班達,董事長特助,(04)22585388,SPG.IR@spg-sportsgear.com,http://www.sportsgear.com.tw/stakeholders.html
34,6806,森崴能源股份有限公司,森崴能源,其他,－,新北市土城區中央路四段49號,28653781,郭台強,胡惠森,蔡美智,執行長兼任財會主管,李心美,(02)2269-9888,96/04/27,110/11/15,新台幣 10.0000元,1465000000,146500000,0,0,合併,每年,股東會,福邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,林瑟凱,梁益彰,SHINFOX ENERGY,"No.49, Sec.4,Zhongyang Rd., Tucheng Dist.,New Taipei City, Taiwan",02-22699815,-,http://www.shinfox.com.tw,蔡美智,執行長兼任財會主管,(02)2269-9888,may@shinfox.com.tw,-
35,8033,雷虎科技股份有限公司,雷虎,其他,－,台中巿工業區六路七號,52541175,陳冠如,蘇聖傑,曾俊明,主任秘書,卓宜儒,04-23591616,68/10/02,96/06/21,新台幣 10.0000元,1326297750,132629775,7672502,0,合併,每年,股東會,福邦證券股份有限公司,02-23711658,台北市中正區忠孝西路一段6號6樓,國富浩華聯合會計師事務所,李青霖,蔡淑滿,TT,"NO.7, 6TH ROAD INDUSTRY PARK TAICHUNGTAICHUNG, TAIWAN R.O.C. 40755",04-23591902,tt@thundertiger.com,www.thundertiger.com,曾俊明,主任秘書,04-23591616,cm@thundertiger.com,http://stock.thundertiger.com/about_us.php?typeid=csr&id=541
36,8341,日友環保科技股份有限公司,日友,其他,－,雲林縣元長鄉元東路1之20號,89922041,張芳正,張芳正,楊希聖,副總,張永典,05-7885788,83/11/29,104/03/23,新台幣 10.0000元,1115000000,111500000,0,0,合併,每年,董事會,第一金證券股份有限公司,02-2563-5711,10688台北市大安區安和路一段27號六樓,資誠聯合會計師事務所,黃金連,李秀玲,SF,"NO.1-20,YUN-DUNG RD.,YUN-CHANG HSIANG YUNLIN HSIEN,TAIWAN,R.O.C",05-7887933,sf@mail.sunnyfriend.com.tw,http://www.sunnyfriend.com.tw/,楊希聖,副總,0225795580#307,sf@mail.sunnyfriend.com.tw,http://www.sunnyfriend.com.tw/SunnyFriend/InterestedParty/IP01.html
37,8404,百和興業股份有限公司(開曼),百和興業-KY,其他,KY 開曼群島,"P.O.BOX 32052,Grand Cayman KYI-1208,Cayman Islands.",26829193,鄭國火因,鄭新隆,張玉敏,經理,黃舒瓴,04-7561340,95/11/06,100/05/18,新台幣 10.0000元,3151781260,315178126,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-6636-5566,臺北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,蔣淑菁,蘇定堅,PAIHO SHIH,"NO.575 HO KANG RD, HO MEI TOWNCHANG HUA COUNTY, ROC",04-7570670,f182@paiho.cn,http://www.kypaiho.com/,張玉敏,經理,04-7561340,f182@paiho.cn,http://www.kypaiho.com/
38,8411,福貞控股股份有限公司,福貞-KY,其他,KY 開曼群島,"P. O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay R",10913602,李榮福,莊素貞,李毓嵐,執行副總經理,藍建中,0937-841198,98/08/26,100/11/01,新台幣 10.0000元,1753981850,175398185,0,0,合併,每季,股東會,永豐金證券股份有限公司,02-2381-6288,台北市博愛路17號3樓,資誠聯合會計師事務所,劉美蘭,洪淑華,KINGCAN,"P. O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay Road, Grand Cayman,Cayman Islands",04-23291439,spokesman@kchld.com,www.kingcanholdings.com,李毓嵐,發言人,0937-841198,spokesman@kchld.com,www.kingcanholdings.com
