,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
10,3162,精確實業股份有限公司,精確,電機機械,－,桃園市新屋區社子里二鄰中興路938號,86406401,胡白莎,胡白莎,程清安,財務長,吳中純,03-4777561,80/11/25,94/10/03,新台幣 10.0000元,1095313420,109531342,42338870,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,100台北巿重慶南路一段83號5樓,勤業眾信會計師事務所,李麗凰,池瑞全,UAT,"NO.938,Zhongxing Rd., She-Tzu Village Xinwu Dist.,Taoyuan City32746,Taiwan TAO-YUAN HSIEN.TAIWAN R.O.C",03-4777563,qingan.cheng@al-uatc.com,www.al-alloy.com.tw,程清安,財務長,02-27921578分機702,@al-uatc.com,mops.twse.com.tw
11,3178,公準精密工業股份有限公司,公準,電機機械,－,814 高雄市仁武區五和里八德二路168號,75940820,蘇友欣,蘇虹音,蘇虹音,總經理,常唐寶,07-3597177,67/03/27,107/11/19,新台幣 10.0000元,450500000,45050000,0,0,合併,每年,股東會,第一金證券股務代理部,02-25635711,10688 台北市大安區安和路一段27號6樓,資誠聯合會計師事務所,王國華,吳建志,GONGIN,"168, PA-TE 2ND ROAD, REN WUU, KAOHSIUNG, TAIWAN, R.O.C",07-3464392,gongin@mail.gongin.com.tw,www.gongin.com.tw,蘇虹音,總經理,0905983178,hysu@mail.gongin.com.tw,www.gongin.com.tw
12,3226,至寶光電股份有限公司,至寶電,電機機械,－,台南市永康區環工路75號,22193115,林世淇,林世淇,陳智威,董事長特助,林琪中,(06)510-5388,75/09/13,93/06/16,新台幣 10.0000元,644305730,64430573,0,0,個別,每年,董事會,群益金鼎證券股份有限公司,(02)2702-3999,台北市大安區敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,張耿禧,陳招美,TOPOWER,"No. 75,Huangong Road, Yongkang District, Tainan City 71244, TaiwanTainan City, Taiwan (R.O.C.)",(06)510-5391,invest@topower.com.tw,www.topower.com.tw,陳智威,董事長特助,(06)510-5388,invest@topower.com.tw,https://topower.com.tw/%e4%bc%81%e6%a5%ad%e7%a4%be%e6%9c%83%e8%b2%ac%e4%bb%bb/%e5%88%a9%e5%ae%b3%e9%
13,3379,彬台科技股份有限公司,彬台,電機機械,－,台北市內湖區瑞光路208號5樓,05087498,洪振攀,林添進,許錦碧,副總經理,王國安,(02)8751-1222,70/04/07,100/10/20,新台幣 10.0000元,380417480,38041748,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,廖福銘,徐聖忠,TBC,"5F., No.208, Ruiguang Rd., Neihu Dist.,TAIPEI 11491, TAIWAN, ROC",(02)8751-2098,tacct@taibeco.com.tw,www.taibeco.com,許錦碧,副總經理,(02)8751-1222,tacct@taibeco.com.tw,www.taibeco.com/f/dqx.aspx
14,3426,台興電子企業股份有限公司,台興,電機機械,－,桃園市平鎮區平鎮工業區工業六路4號,12499995,林萬興,楊萬隆,周怡均,管理部處長,林禮蘭,(03)469-9777,73/06/16,105/12/21,新台幣 10.0000元,264000000,26400000,0,0,合併,每年,股東會,元大證券股份有限公司,(02)2586-5859,台北市大同區承德路三段210號地下一樓,勤業眾信聯合會計師事務所,施錦川,黃毅民,TSE,"NO.4, Kung Yeh 6th Rd.,Ping Cheng Industrial District,Tao Yuan County Taiwan, R.O.C.",(03)469-9555,tse@tai-shing.com.tw,www.tai-shing.com.tw,周怡均,管理部處長,(03)469-9777#345,sandychou@tai-shing.com.tw,www.tai-shing.com.tw
15,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
16,3685,元創精密車業股份有限公司,元創精密,電機機械,－,台中市西屯區朝富路213號4樓之7,52811070,江凱量,張明弘,張明弘,總經理,王正文,04-22585821,72/09/27,99/12/08,新台幣 10.0000元,799900000,79990000,0,0,合併,每年,股東會,宏遠證券股份有限公司,02-77198899,台北市信義路四段236號3樓,安永聯合會計師事務所,黃宇廷,黃子評,TAC,"4F.-7, No.213, Chaofu Rd., Xitun Dist.,Taichung City 407, Taiwan.",04-22593685,fa@tradetools.com.tw,Http://www.tradetools.com.tw,張明弘,總經理,04-22585821,fa@tradetools.com.tw,Http://www.tradetools.com.tw
17,4502,健信科技工業股份有限公司,健信,電機機械,－,彰化縣線西鄉彰濱東一路3號,55878947,吳明燦,吳明燦,吳明燦,總經理,施義昭,04-7582899,67/06/20,84/12/12,新台幣 10.0000元,581116860,58111686,7361000,0,合併,每年,股東會,凱基證券股份有限公司股務代理部,02-23892999,台北市重慶南路一段2號5樓,資誠聯合會計師事務所,吳松源,徐建業,RT,"NO.3 CHANG PIN E.1ST RD., HSIEN-HSI HSIANG. CHANGHUA HSIEN, TAIWAN, R.O.C.",04-7588511,enco@rostawheels.com.tw,www.rostawheels.com.tw,施義昭,財務長,04-7582899#346,denny@rostawheels.com.tw,www.rostawheels.com.tw
18,4503,金雨企業股份有限公司,金雨,電機機械,－,彰化市延和里埔內街411巷101號,59260902,卓政懋,卓政輿,卓政懋,董事長,賴盈珺,04-7115298,69/06/21,85/12/19,新台幣 10.0000元,392633260,39263326,0,0,合併,每年,股東會,第一金證券(股)公司,02-25635711,台北市大安區安和路一段27號6樓,安永聯合會計師事務所,黃子評,黃宇廷,GOLD RAIN,"No 101 LANE 411 PU-NEI STREET YEN-HO LICHANGHUA , TAIWAN , R.O.C",04-7112837,alona@alona.com.tw,www.alona.com.tw,卓政懋,董事長,04-7115298,alona@alona.com.tw,www.alona.com.tw
19,4506,崇友實業(股)公司,崇友,電機機械,－,北市南京東路二段88號13樓,04416894,唐伯龍,游本立,林鴻鵬,經理,呂英槙,02-2551-1166,63/05/30,86/12/06,新台幣 10.0000元,1770120000,177012000,0,0,合併,每年,股東會,元大證券股份有限公司,02-2586-3117,北市承德路三段210號地下一樓,安永聯合會計師事務所,馬君廷,傅文芳,GFC,"13F., No.88, Nanking E. Rd., Sec.2, Taipei, Taiwan, R.O.C.",02-2563-9767,acc@gfc.com.tw,http://www.gfc.com.tw,林鴻鵬,經理,2551-1166#575,patrick.lin@gfc.com.tw,http://www.gfc.com.tw
20,4510,高鋒工業股份有限公司,高鋒,電機機械,－,台中市大雅區科雅路16號,55857746,沈國榮,陳振中,陳振中,總經理,陳泰霖,04-25662116,68/02/03,87/02/24,新台幣 10.0000元,1080106890,108010689,0,0,合併,每年,股東會,元富證券股份有限公司股務代理處,02-27686668,105台北市松山區光復北路11巷35號地下一樓,國富浩華聯合會計師事務所,張福郎,邱桂鈴,KAFO,"NO.16, KEYA ROAD, TA-YA, TAICHUNG, 428 TAIWAN, R.O.C.",04-25671001,fin@kafo.com.tw,www.kafo.com.tw,陳泰霖,管理部經理,04-25662116,terry-chen@kafo.com.tw,http://www.kafo.com.tw/_chinese/02_about/01_detail.php?pid=5
21,4513,福裕事業股份有限公司,福裕,電機機械,－,台中市大雅區龍善二街12號,55848584,張寶銘,張寶銘,張明倫,副總經理,張順福,(047)991126,67/04/13,87/03/25,新台幣 10.0000元,768803000,76880300,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)66365566,台北市中正區重慶南路一段八十三號五樓,安永聯合會計師事務所,黃宇庭,陳明宏,FALCON,"NO,34 Hsing Long Road, Shang Kang,　Chang Hua TAIWAN 509,R.O.C.",(047)977214,overseas1@chevalier.com.tw,www.chevalier.com.tw/html_t/,陳世恩,副總經理,04-7991126,csz1020@chevalier.com.tw,http://inv.chevalier.com.tw/DocLib5/Forms/AllItems.aspx
22,4523,永彰機電股份有限公司,永彰,電機機械,－,桃園市觀音區崙坪里8鄰崙坪140號,22522361,顏明宏,顏明宏,謝淑蘭,財務部經理,李欣樺,03-498-2821,76/05/04,88/11/22,新台幣 10.0000元,640000000,64000000,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-2702-3999,台北市大安區敦化南路二段 97 號 B2,建昇財稅聯合會計師事務所,林昇平,陳仁基,TWNCAL,"No. 140, Lunping, Guanyin Dist.,Taoyuan City, Taiwan, R.O.C.",03-498-5313,rosehsieh@twncal.com.tw,www.twncal.com.tw,謝淑蘭,財務部經理,03-498-2821,rosehsieh@twncal.com.tw,www.twncal.com.tw
23,4527,?霖冷凍機械股份有限公司,方土霖,電機機械,－,高雄市三民區吉林街139巷12號,22551554,曾仲國,曾仲國,廖清惠,專員,蘇麗玲,07-6192345,77/04/05,89/09/28,新台幣 10.0000元,761523700,76152370,0,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,(103)臺北市大同區承德路3段210號B1,資誠聯合會計師事務所,廖阿甚,吳建志,KL,"NO.12,LANE 139.CHI LIN STREETKAOHSIUNG HSIEN,TAIWAN.R.O.C",07-6170422,klmain@kuenling.com.tw,www.kuenling.com.tw,廖清惠,專員,07-6192345-222,ann@kuenling.com.tw,www.kuenling.com.tw
24,4528,江興鍛壓工業股份有限公司,江興鍛,電機機械,－,台中市西屯區協和里協和南巷3-1號,52604255,江木山,江木山,郭永義,財務協理,莊懷煙,04-23592000,69/09/05,90/02/12,新台幣 10.0000元,765142680,76514268,0,0,合併,每年,董事會,統一綜合證券股份有限公司,02-27478266,台北市松山區東興路8號B1F,安永聯合會計師事務所,黃宇廷,涂清淵,CHF,"No.3-1, Siehe S. Lane, Situn District 407Taichung City, Taiwan, R.O.C.",04-23594475,chf@ch-forging.com.tw,http://www.ch-forging.com.tw,郭永義,協理,04-23592000#261,guy.guo@ch-forging.com.tw,http://www.ch-forging.com.tw/cont01.asp
25,4530,宏易創新國際股份有限公司,宏易,電機機械,－,台北市中山區復興北路58號3樓,36243760,陳冠瑋,陳冠瑋,蕭知中,副總經理,蔡育倫,02-27729222,73/09/12,90/04/30,新台幣 10.0000元,461722760,46172276,13760000,0,合併,每年,股東會,永豐金證券股份有限公司,02-27186211,台北市中正區博愛路１７號３樓,勤業眾信聯合會計師事務所,翁雅玲,邵志明,Honyi,"3F., No. 58, Fuxing N. Rd., Zhongshan Dist.Taipei City 104, Taiwan (R.O.C.)",02-27755398,Jack.Hsiao@honyigroup.com,www.honyigroup.com,蕭知中,副總經理,02-27729222,Jack.Hsiao@honyigroup.com,www.honyigroup.com
26,4533,協易機械工業股份有限公司,協易機,電機機械,－,桃園市龜山區南上路446號,36096704,郭雅慧,郭挺鈞,李丞偉,營業處副總,徐煜博,(03)3525466,71/03/02,91/04/26,新台幣 10.0000元,1584341100,158434110,0,0,合併,每年,董事會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,廖婉怡,翁博仁,SEYI,"No.446, Nanshang Rd., Guishan Dist.,　Taoyuan City , Taiwan (R.O.C.)",(03)3525488,spokesman@seyi.com,www.seyi.com,李丞偉,副總經理,03-3525466,spokesman@seyi.com,www.seyi.com
27,4534,慶騰精密科技股份有限公司,慶騰,電機機械,－,苗栗縣頭份市中華路487巷20號,84189908,王興威,王興威,王興威,總經理,魏雅玲,(037)626123,82/02/23,92/03/31,新台幣 10.0000元,867889480,86788948,0,0,合併,每年,董事會,元富(綜合)證券股份有限公司,02-27686668,台北市松山區光復北路11巷35號地下一樓,安永聯合會計師事務所,洪茂益,陳國帥,trinity,"NO.20, LANE 487 CHUNG HUA RD.,TOU FEN CITY , MIAO-LI COUNTRY, TAIWAN",(037)628267,trinity@trinity-ptc.com,www.trinity-ptc.com,魏雅玲,財務長,037-626123分機2000,amy@trinity-ptc.com,http://www.trinity-ptc.com/c-investment-10.html
28,4535,至興精機股份有限公司,至興,電機機械,－,彰化縣伸港鄉全興工業區工八路3號,22794503,吳崇儀,吳宗明,劉美娘,經理,林俊杰,04-7990118,77/03/17,92/04/16,新台幣 10.0000元,756617400,75661740,0,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,台北市大同區承德路三段２１０號地下一樓,富鋒聯合會計師事務所,顏國裕,吳金地,FBT,"NO.3, KON EIGHTH RD. CHUANG HINE INDUSTRIAL PARK, HSEN-KANG,CHANGHUA, TAIWAN",04-7980226,gmo05@fineblanking.com.tw,www.fineblanking.com.tw,劉美娘,經理,04-7990118#120,gmo05@fineblanking.com.tw,www.fineblanking.com.tw
29,4538,大詠城機械股份有限公司,大詠城,電機機械,－,(50544)彰化縣鹿港鎮鹿工南六路23號,60256758,謝順民,謝宜軒,簡安琪,副理,鄧昭明,04-7813033,69/01/10,108/01/15,新台幣 10.0000元,504560000,50456000,0,0,個別,每年,股東會,日盛證券股份有限公司股務代理部,(02)2541-9977,台北市中山區南京東路二段85號7樓,資誠會計師事務所,徐建業,劉美蘭,WINSON,"No. 23, Lugong S. 6th Rd., Lugang Town,Changhua County , Taiwan, ROC",04-7812131,4538@wsmc.com.tw,www.wsmc.com.tw,簡安琪,副理,04-7813032,4538@wsmc.com.tw,www.wsmc.com.tw
30,4543,萬在工業股份有限公司,萬在,電機機械,－,台南市關廟區中山路二段260號,22212598,萬正乾,萬正乾,郭慈媛,財務會計處處長,陳吉誠,06-5952614,73/05/07,105/03/15,新台幣 10.0000元,569700000,56970000,0,0,合併,每年,董事會,台新證券股務代理部,02-25048125,台北市中山區建國北路一段號96號B1樓,安永聯合會計師事務所,胡子仁,李芳文,MAN ZAI,"NO.260, SEC. 2, CHUNG SAN RD.KUAN MIAO. TAINAN, TAIWAN. R.O.C.",06-5956403,finance@manzai.com.tw,http://www.manzai.com.tw,郭慈媛,財務會計處處長,06-5950771,finance@manzai.com.tw,http://www.manzai.com.tw
31,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
32,4549,桓達科技股份有限公司,桓達,電機機械,－,新北市土城工業區自強街16號,80132123,吳清德,吳定國,許碧雲,特別助理,林豐章,(02)22696789,92/01/30,103/11/27,新台幣 10.0000元,444778690,44477869,0,0,合併,每年,股東會,元大證券股份有限公司股代部,(02)2586-5859,台北市承德路三段210號地下一樓,勤業眾信聯合會計師事務所,陳招美,張耿禧,FineTek,"No.16,Tzuchiang St.,Tucheng Industrial Park,New Taipei City 23678,Taiwan",(02)22671266,ir@fine-tek.com,http://www.fine-tek.com,許碧雲,特別助理,(02)22696789,ir@fine-tek.com,http://tw.fine-tek.com/main/page_view.aspx?mnuid=1432&modid=175
33,4550,長佳機電工程股份有限公司,長佳,電機機械,－,台北市內湖區基湖路10巷1號8樓,84271478,王才翔,吳陽明,蔡奇成,副總經理,朱菁華,02-66066789,82/05/17,104/03/18,新台幣 10.0000元,378387830,37838783,0,0,合併,每年,股東會,華南永昌證券股份有限公司,02-27186425,台北市民生東路四段54號4樓,勤業眾信聯合會計師事務所,趙永祥,邱盟捷,CJME,"8F., No.1, Ln. 10, Jihu Rd.,Neihu Dist., Taipei 114, Taiwan, R.O.C",02-66066788,sunnychu@changjia.com.tw,http://www.changjia.com.tw,朱菁華,會計主管,02-66066789,sunnychu@changjia.com.tw,http://www.changjia.com.tw/zh_TW/about/id/11/
34,4561,健椿工業股份有限公司,健椿,電機機械,－,彰化縣線西鄉彰濱工業區彰濱東七路16號,59362767,葉展碩,葉展碩,葉展碩,總經理,柯霈宸,04-7910271,72/12/14,107/06/11,新台幣 10.0000元,585216190,58521619,0,0,個別,每年,股東會,第一金證券(股)公司股務代理部,02-25635711,台北市大安區安和路一段27號六樓,安侯建業聯合會計師事務所,陳政學,張字信,Kenturn,"No. 16, East 7 Rd., Chang Bin Industrial Park, Shain Shi,Chang Hua, Taiwan, R.O.C.",04-7910272,cnc-spindle@kenturn.com.tw,www.kenturn.com.tw,葉展碩,總經理,04-7910271,cnc-spindle@kenturn.com.tw,www.kenturn.com.tw
35,4563,百德機械股份有限公司,百德,電機機械,－,台中市大甲區幼獅工業區工六路3號,86195222,謝瑞木,謝天昕,謝天昕,總經理,待補,04-26821277,80/05/23,107/07/12,新台幣 10.0000元,549500000,54950000,0,0,合併,每年,股東會,日盛證券股份有限公司,02-25419977,台北市中山區南京東路二段85號7樓,安侯建業聯合會計師事務所,吳俊源,張字信,QUASER,"No.3, Gong 6th Rd., Youshih Industrial Park, Dajia DistTaichung, Taiwan",04-26821266,quaser@qmt.com.tw,www.quaser.com,林昱馨,財務主管,04-26821277,quaser@qmt.com.tw,www.quaser.com
36,4568,科際精密股份有限公司,科際精密,電機機械,－,新北市中和區建康路6號5樓,54705928,張智,鄭宗恩,陳英毅,財務副總經理,張博涵,02-2226-6860,103/03/19,107/10/03,新台幣 10.0000元,302705000,30270500,0,0,合併,每年,董事會,永豐金證券(股)公司股務代理部,02-2381-6288,台北市中正區博愛路17號3樓,安侯建業聯合會計師事務所,鍾丹丹,李逢暉,KOGE,"5F., No.6, Jiankang Rd., Jhonghe Dist.,New Taipei City 23586, Taiwan (R.O.C.)",02-2226-6864,PRM3@koge.com,https://www.koge.com/?nclang=T,陳英毅,財務副總經理,02-2226-6860,PRM3@koge.com,https://www.koge.com/invest.php?id=7
37,4580,捷流閥業股份有限公司,捷流閥業,電機機械,－,新北市土城區中山路九號,15877936,楊大中,錢佩玲,李文彬,財務經理,王無為,02-22698000,69/06/27,109/01/06,新台幣 10.0000元,391320000,39132000,0,0,合併,每年,股東會,元大證券(股)公司股務代理部,02-25865859,台北市大同區承德路三段210號B1,勤業眾信聯合會計師事務所,楊靜婷,陳致源,Value Valves,"No.9, Chung Shan Rd. Tu-Cheng Industrial District,New Taipei City, ROC",02-22686111,ir@valuevalves.com.tw,www.valuevalves.com,李文彬,財務經理,0919-164-580,ir@valuevalves.com.tw,www.valuevalves.com
38,6122,擎邦國際科技工程股份有限公司,擎邦,電機機械,－,台北市內湖區瑞光路210號5樓,05114306,洪振攀,張明燦,許錦碧,副總經理,王國安,8751-0858,71/08/21,89/07/14,新台幣 10.0000元,707909610,70790961,0,0,合併,每年,股東會,富邦綜合證券股份有限公司代理部,2361-1300,台北市許昌街17號2樓,安侯建業聯合會計師事務所,黃明宏,唐嘉鍵,KPEC,"5th floor, 210, Ruiguang Rd., Neihu DistTaipei, Taiwan",8751-2407,kacct@kpec.com.tw,www.kpec.com.tw,許錦碧,副總經理,(02)8751-0858,kacct@kpec.com.tw,"www,kpec.com.tw"
