9,2912,統一超商股份有限公司,統一超,貿易百貨,－,台北市東興路65號2樓,22555003,羅智先,黃瑞典,徐光宇,專案協理,謝蓮塘 協理,(02)27478711,76/06/10,86/08/22,新台幣 10.0000元,10396222550,1039622255,0,0,合併,每年,股東會,統一綜合證券(股)公司股務代理部,(02)27463797,105台北市松山區東興路8號B1,資誠聯合會計師事務所,梁益彰,林瑟凱,PCSC,"2F,65 Tung Hsing Rd,.105Taipei,Taiwan,R.O.C.",(02)27478181,spokesman@mail.7-11.com.tw,http://www.7-11.com.tw,姬亭竹,投資人關係TEAM經理,(02)27478711,chelseachi@mail.7-11.com.tw,http://www.7-11.com.tw/communication.asp
10,2913,台灣農林股份有限公司,農林,貿易百貨,－,台北市南港區115南港軟體工業園區F棟園區街3號15樓,07525207,吳清源,林金燕,高力川,公共事務處副總經理,鄭光志.黃珮禎,(02)2655-7799,39/06/15,51/02/09,新台幣 10.0000元,7900000000,790000000,83250000,0,個別,每年,董事會,福邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,安永聯合會計師事務所,張志銘,馬君廷,TTC,"15F., No.3, Park St., Nangang Dist.Taipei City 115, Taiwan (R.O.C.)",(02)2655-7700,service@ttch.com.tw,http://www.ttch.com.tw,高力川,公共事務處副總經理,02-26557799,Lee Kao@ttch.com.tw,http://www.ttch.com.tw/stakeholder/stakeholder
11,2915,潤泰全球股份有限公司,潤泰全,貿易百貨,－,台北市八德路二段三０八號十三樓之一,14053007,王綺帆,徐志漳,李天傑,副總經理,徐志漳,81617999,65/01/14,66/07/20,新台幣 10.0000元,7343187720,734318772,0,0,合併,每年,股東會,本公司股務室,81617999,台北市八德路二段三０八號十二樓,資誠聯合會計師事務所,張淑瓊,杜佩玲,RUENTEX IND.LTD,"13/F,No.308,Section 2, Bade Road,Taipei,Taiwan,Republic of China",81617968,cmc@mail.ruentex.com.tw,www.ruentex.com.tw,李天傑,副總經理,81617999,rt000353@mail.ruentex.com.tw,www.ruentex.com.tw/financial/Financial_cn.htm
12,2929,淘帝國際控股有限公司,淘帝-KY,貿易百貨,KY 開曼群島,台北市內湖區新湖一路97號2樓,54381224,周訓財,周志鴻,陳建瑋,財務長,莊凌鋒,(02)27938077,101/10/03,102/12/30,新台幣 10.0000元,1094938380,109493838,0,0,合併,每年,股東會,福邦證券股份有限公司股務代理部,(02)23711658,台北市中正區忠孝西路一段六號六樓,信永中和聯合會計師事務所,陳光慧,郭鎮宇,TOPBI,"2F.,NO.97.XINHU 1ST RD,NEIHU DIST.,TAIPEI CITY,TAIWAN",(02)27938077,topbi@topbi.cn,http://www.topbi.com.tw,陳建瑋,財務長,(02)27938077,topbi@topbi.cn,http://www.topbi.com.tw/contacts/contact_mail_tw
13,2936,客思達股份有限公司,客思達-KY,貿易百貨,KY 開曼群島,臺中市北屯區北屯路360號7樓之1,47585813,高黎莎,葉伯璘,葉伯璘,總經理,潘敏行,04-22490777,102/08/22,105/09/26,新台幣 10.0000元,760556960,76055696,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02) 66365566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,潘慧玲,鄧聖偉,COASTER,"7F.-1, No.360, Beitun Rd., Beitun Dist.,Taichung City 406, Taiwan (R.O.C.)",04-22493900,2936.ir@coastergroup.com,http://www.coasterinternational.com/,邱雅雯,董事會秘書處處長,0905-692936,2936.ir@coastergroup.com,http://www.coasterinternational.com/stakeholders.htm
14,2939,凱羿國際集團股份有限公司,凱羿-KY,貿易百貨,KY 開曼群島,新北市永和區永和路二段59號8樓,72768516,蔡謀賦,蔡謀賦,蔡謀賦,本公司董事長/總經理,王錦德,(02)2929-5373,104/05/28,107/01/11,新台幣 10.0000元,455486650,45548665,0,0,合併,每半會計年度,董事會,中國信託商業銀行股份有限公司,(02)6636-5566,台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,廖婉怡,張耿禧,KE,"8F., No.59, Sec. 2, Yonghe Rd., Yonghe Dist.,New Taipei City, Taiwan (R.O.C.)",(02)2929-5371,ir@kayeetv.com.tw,www.kayeetv.com,王錦德,財務長,(02)2929-5373,ir@kayeetv.com.tw,www.kayeetv.com
15,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
16,2945,三商家購股份有限公司,三商家購,貿易百貨,－,台北市中山區民權東路三段４號地下一層,54164937,陳翔玢,邱光隆,邱光隆,總經理,劉晏秀,02-2506-1166,102/02/07,110/11/30,新台幣 10.0000元,675000000,67500000,0,0,合併,每年,股東會,宏遠證券股份有限公司股務代理部,02-2326-8818,台北市信義路四段236號3樓,安侯建業聯合會計師事務所,周寶蓮,陳振乾,Simple Mart,"B1, NO.4, SECTION 3, MINQUAN EAST ROADTAIPEI, TAIWAN, R.O.C",02-2516-1066,investor@simplemart.com.tw,https://www.simplemartretail.com/,張華,副理,02-2506-1166,investor@simplemart.com.tw,https://www.simplemartretail.com/
17,4807,日成控股股份有限公司,日成-KY,貿易百貨,KY 開曼群島,"The Grand Pavilion Commercial Centre, Oleander Way, 802 West",42485651,帕查拉蓬 拍奔順通(Phacharapon ),林如茵,林如茵,總經理,李文雄,(02)2501-1225,103/10/06,106/06/26,新台幣 10.0000元,383893440,38389344,0,0,合併,每年,股東會,永豐金證券股務代理部,(02)2381-6288,臺北市博愛路17號3樓,安侯建業聯合會計師事務所,張純怡會計師,趙敏如會計師,RH,"11F., No. 131, Songjiang Rd., Zhongshan Dist.,Taipei,Taiwan",(02)2501-1229,rh@regaljewelrygroup.com,http://www.regaljewelrygroup.com,李文雄,台灣分公司總經理,(02)2501-1225,rh@regaljewelrygroup.com,http://www.regaljewelrygroup.com/TW/InterestedParties/ugC_InterestedParties.asp
18,5906,台南生活(開曼)股份有限公司,台南-KY,貿易百貨,KY 開曼群島,台南市東區東門路二段297號1樓,36855058,楊青峯,洪醒,黃鋕沅,會計經理,洪醒,(06)2006277,88/02/08,100/10/24,新台幣 10.0000元,324000000,32400000,16200000,0,合併,每年,董事會,元富證券股份有限公司,02-27686668,台北市松山區光復北路11巷35號B1,勤業眾信聯合會計師事務所,廖鴻儒,楊朝欽,TAINAN CAYMAN,"1F., No.297, Sec.2, Dongmen. Rd.,East Dist., Tainan City701, Taiwan( R.O.C)Tainan, Taiwan, R.O.C.",(06)2004211,carol.lian@mail.tainancayman.com,www.tainancayman.com,連凰樺,財務副理,06-2006277,carol.lian@mail.tainancayman.com,http://www.tainancayman.com/Tn/fInfo_Contact.htm
19,5907,Grand Ocean RetailGroupLimited,大洋-KY,貿易百貨,KY 開曼群島,台北市大安區復興南路二段237號14樓(訴訟及非訴訟代理人聯絡處),53013068,郭人豪,黃清海,張進國,副總裁,許進易,(02)2707-8833,95/08/23,101/06/06,新台幣 10.0000元,1955310000,195531000,0,0,合併,每年,股東會,凱基證券股份有限公司,(02)2389-2999,台北市中正區重慶南路一段2號5樓,安侯建業聯合會計師事務所,張淑瑩,賴麗真,GORG,"14F., No.237, Sec. 2, Fuxing S. Rd., Da’an Dist.Taipei City 106, Taiwan",(02)2706-5229,jyxu27@gmail.com,http://www.grandocean.com.tw/,許進易,會計經理,(02)2707-8833 #106,jyxu27@gmail.com,http://www.grandocean.com.tw/
20,8429,金麗集團控股有限公司,金麗-KY,貿易百貨,KY 開曼群島,台北市士林區前港街11號5樓502室(台灣辦事處),36986397,庄春龍,庄春龍,李校德,特助,潘哲倫,02-28812120,99/12/15,101/12/20,新台幣 10.0000元,1857471510,185747151,0,0,合併,每年,股東會,永豐金證券股務代理部,02-2381-6288,台北市博愛路17號3樓,資誠聯合會計師事務所,陳憲正,林瑟凱,Jinli,"Room 502, 5th Floor, No. 11, Qiangang Street, Shilin District,Taipei City 111, Taiwan (R.O.C.)",02-28812140,andy_lee@jinligroup.com.tw,www.jinligroup.com.tw,李校德,特助,02-28812120,andy_lee@jinligroup.com.tw,www.jinligroup.com.tw
21,8443,阿瘦實業股份有限公司,阿瘦,貿易百貨,－,(104)台北市中山區松江路168號5樓,80511709,羅榮岳,郭欣怡,羅麗玲,副總經理,柴宏德,(02)6618-9999,92/08/25,103/09/15,新台幣 10.0000元,668000000,66800000,0,0,合併,每年,董事會,凱基證券股份有限公司股務代理部,(02)2389-2999,台北市重慶南路一段2號5樓,安侯建業聯合會計師事所,陳蓓琪,于紀隆,ASO,"5F., No.168, Songjiang Rd., Jhongshan DistrictTaipei City, Taiwan",(02)6618-1333,IR@mail.aso.com.tw,www.asogroup.com.tw,羅麗玲,副總經理,02-66189999,IR@mail.aso.com.tw,www.asogroup.com.tw
22,8454,富邦媒體科技股份有限公司,富邦媒,貿易百貨,－,台北市內湖區洲子街96號4樓,27365925,林啟峰,谷元宏,谷元宏,總經理,呂鈺萍,(02)2162-6688,93/09/27,103/12/19,新台幣 10.0000元,1820760500,182076050,0,0,合併,每年,股東會,富邦綜合證券股份有限公司,(02)2361-1300,台北市中正區許昌街17號2樓,勤業眾信聯合會計師事務所,郭俐雯,陳培德,momo,"4F.,No.96,Zhouzi St.,Neihu Dist.,Taipei City 11493Taiwan(R.O.C)",(02)2162-6696,http://www.fmt.com.tw,http://www.fmt.com.tw,劉少愉,投資法人關係資深經理,886-2-2162-6688,ir@fmt.com.tw,http://www.fmt.com.tw
