13,6720,久昌科技股份有限公司,久昌,半導體業,－,新竹科學園區新竹市東區篤行路6-1號2樓,53502805,葉錦祥,葉錦祥,葉錦祥,董事長兼總經理,周詩淳,(03)5752568,100/08/02,108/05/10,新台幣 10.0000元,199056000,19905600,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)25635711,台北市中正區重慶南路一段83號五樓,安侯建業聯合會計師事務所,莊鈞維,于紀隆,MP,"2F., NO. 6-1, Dusing Rd., East Dist., Hsinchu Science Park,Hsinchu City, Taiwan (R.O.C.)",(03)5752528,ir@major-power.com.tw,www.major-power.com.tw,－,－,－,－,www.major-power.com.tw
14,6786,芯測科技股份有限公司,芯測,半導體業,－,新竹縣竹北市台元一街6號7樓之5,25089282,陳冠豪,賴俊澤,賴俊澤,總經理,謝太平,(03)560-1667,98/12/16,109/08/19,新台幣 10.0000元,224169800,22416980,0,0,個別,每年,股東會,宏遠證券股份有限公司,(02)7719-8899,台北市信義路四段236號3樓,安侯建業聯合會計師事務所,黃海寧,鄭安志,iSTART,"7F.-5,No.6,Taiyuan 1st St.,Zhubei CityHsinchu County 302082,Taiwan(R.O.C)",(03)560-1665,ir@istart-tek.com,http://www.istart-tek.com/,－,－,－,－,無
15,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
16,6789,采鈺科技股份有限公司,采鈺,半導體業,－,新竹科學園區新竹市篤行一路12號,80601119,關欣,辛水泉,蔡銘輝,副總經理,葉莉鈴,03-6668788,92/12/01,110/04/06,新台幣 10.0000元,2932771190,293277119,0,0,個別,每年,股東會,中國信託商業銀行代理部,02-66365566,台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,林尚志,鍾鳴遠,VisEra,"No. 12, Duxing 1st Rd., East Dist., Hsinchu Science Park,Hsinchu City 300, Taiwan (R.O.C.)",03-6662858,invest@viseratech.com,http://www.viseratech.com,－,－,－,－,http://www.viseratech.com
17,6799,來頡科技股份有限公司,來頡,半導體業,－,台北市內湖區瑞湖街178巷19號2樓,53089904,陳燦榮,孟達,孟達,總經理,吳曉玫,0226560961,99/09/07,109/11/27,新台幣 10.0000元,367291330,36729133,0,0,合併,每年,董事會,元大證券股份有限公司,0225863117,10366台北市大同區承德路三段210號B1,勤業眾信聯合會計師事務所,簡明彥,邱政俊,M3TEK,"2F, NO.19, Lane 178, Ruihu StreetTaipei, Taiwan, R.O.C.",0226560963,ir@m3tekic.com,www.m3tekic.com,－,－,－,－,www.m3tekic.com
18,6819,眾智光電科技股份有限公司,眾智,半導體業,－,新竹科學園區工業東九路25號,23734841,吳岱錡,吳岱錡,王建勳,資深經理,徐國華,03-5785177,79/04/23,110/02/05,新台幣 10.0000元,304737330,30473733,0,0,合併,每半會計年度,董事會,凱基證券股份有限公司股務代理部,02-23892999,台北市重慶南路一段2號5樓,資誠聯合會計師事務所,游淑芬,張淑瓊,ORISYSTECH,"No.25, Industry E. 9th Road, Hsinchu Science Park,Hsinchu 30075, Taiwan",03-5787070,hr@orisystech.com.tw,www.orisystech.com,－,－,－,－,www.orisystech.com
19,6823,濾能股份有限公司,濾能,半導體業,－,桃園市楊梅區中山里中山北路一段199巷98號2樓,54795527,黃銘文,黃氣寶,阮士原,財務長,葉博雅,03-4856365,103/03/24,110/06/10,新台幣 10.0000元,177625000,17762500,0,0,個別,每年,股東會,中國信託商業銀行代理部,02-66365566,台北市中正區重慶南路一段83號5樓,資誠聯合會計師事務所,黃世鈞,吳郁隆,GreenFILTEC,"2F., No. 98, Ln. 199, Sec. 1, Zhongshan N. Rd., Yangmei Dist.Taoyuan City 326, Taiwan (R.O.C.)",03-4856567,finance@greenfiltec.com,https://www.greenfiltec.com/,－,－,－,－,https://www.greenfiltec.com/
20,6842,一元素科技股份有限公司,一元素,半導體業,－,臺北市內湖區瑞光路76巷61號5樓,27729833,蕭進益,王建宇,蘇崇智,產品協理,廖春澍,02-27918139,94/05/24,110/09/30,新台幣 10.0000元,200000000,20000000,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-2311-1838,台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,李麗凰,陳慧銘,E-Elements,"5F,NO.61,Lane76,Ruiguang Rd., Neihu Dist.,Tapei,Taiwan,R.O.C.",02-27926942,service@e-elements.com.tw,http://www.e-elements.com.tw,－,－,－,－,無
21,7530,鋒魁科技股份有限公司,鋒魁科技,半導體業,－,苗栗縣竹南鎮廣源科學園區友義路232號,28772230,張錦發,林千惠,鍾昇辰,副總經理,林千惠,(037)586993,96/08/07,110/11/24,新台幣 10.0000元,315000000,31500000,0,0,合併,每年,股東會,富邦綜合證券股份有限公司,0223611300,台北市中正區許昌街17號2樓,資誠聯合會計師事務所,鄭雅慧,江采燕,Forward Tek.,"No.232, Youyi Rd. Zhunan TownshipMiaoli County, Taiwan",(037)585987,ir@forward-tek.com.tw,www.forward-tek.com.tw,－,－,－,－,www.forward-tek.com.tw
22,8179,旭德科技股份有限公司,旭德,半導體業,－,新竹縣湖口鄉光復北路8號,16638110,曾子章,勞紹文,鍾明峰,資深副總經理,李雙玲,03-5986150,87/08/17,96/11/05,新台幣 10.0000元,2959426000,295942600,0,0,合併,每年,股東會,宏遠證券股份有限公司股務代理部,02-27008899,台北市信義路四段236號3樓,安永聯合會計師事務所,郭紹彬,邱琬茹,SUBTRON,"No.8, Kuang Fu North Road, Hu Kou, Hsin-Chu lndustrial Park,Hsin-Chu, Taiwan, R.O.C.",03-5986018,cc.tung@subtron.com.tw,www.subtron.com.tw,－,－,－,－,www.subtron.com.tw
23,8227,巨有科技股份有限公司,巨有科技,半導體業,－,台北市內湖路一段88號8樓,86169913,賴志賢,賴志賢,駱昆和,財務長,洪泰盛,2658-2233,80/08/15,110/07/21,新台幣 10.0000元,331930000,33193000,0,0,個別,每年,股東會,群益金鼎證券股份有限公司,2702-3999,台北市敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,陳重成,張耿禧,PGC,"8TH FL., NO.88, SEC.1, NEI HU RD. TAIPEI 114, TAIWAN, R.O.C.",2659-3266,fin@pgc.com.tw,www.pgc.com.tw,－,－,－,－,www.pgc.com.tw
