9,4169,泰宗生物科技股份有限公司,泰宗,生技醫療業,－,(221)新北市汐止區新台五路一段97號24樓之8,16307131,徐煥清,王雅俊,王雅俊,總經理,楊舒雅,02-26972628,87/02/20,101/05/07,新台幣 10.0000元,475922880,47592288,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市中正區重慶南路一段83號3樓,資誠聯合會計師事務所,林雅慧,徐永堅,TCM,"24F-8, No.97, Sec. 1, Xintai 5th Rd., Xizhi DistNew Taipei City , Taiwan (R.O.C.)",02-26972772,4169@tcmbio.com,http://www.tcmbio.com/,－,－,－,－,http://www.tcmbio.com/tw/#!/investor/inv4/
10,4172,因華生技製藥股份有限公司,因華,生技醫療業,－,(114)台北市內湖區瑞光路478巷20號9樓、22號9樓,27964549,林智暉,郝為華,郝為華,總經理,王威德,02-87977607,94/10/27,101/09/13,新台幣 10.0000元,867190000,86719000,0,0,個別,每年,股東會,元大證券(股)公司股務代理部,02-25865859,台北市承德路三段210號B1,資誠聯合會計師事務所,游淑芬,林玉寬,InnoPharmax,"9F.,No.20,9F.,No.22,Lane 478,Rueiguang Rd.Neihu District, Taipei,Taiwan,R.O.C.",02-87975627,investor@innopharmax.com,www.innopharmax.com.tw,－,－,－,－,investor@innopharmax.com
11,4186,台灣尖端先進生技醫藥(股)公司,尖端醫,生技醫療業,－,(10663)台北市復興南路二段363號5樓,70774029,蘇文龍,蘇文龍,蘇文龍,董事長,劉哲嘉,(02)2692-6222,89/05/25,101/11/27,新台幣 10.0000元,900000000,90000000,0,0,個別,每年,股東會,統一綜合證券(股)公司股務代理部,(02)2746-3797,(10570)台北市松山區東興路8號B1樓,安侯建業聯合會計師事務所,許育峰,梅元貞,TABP,"(22180)12F., No.25, Ln. 169, Kangning St., Xizhi DistNew Taipei City ,221,Taiwan(R.O.C)",(02)2692-6229,lung@biotest.com.tw,http://www.biotest.com.tw,－,－,－,－,http://www.biotest.com.tw
12,4191,法德生技藥品股份有限公司,法德藥,生技醫療業,－,新北市中和區連城路236號5樓之1,28853599,詹惠如,詹惠如,詹惠如,總經理,翟星玫,02-2223-1552,97/03/21,102/07/08,新台幣 10.0000元,710020680,71002068,2313668,0,合併,每年,股東會,凱基證券股份有限公司股務代理部,02-2389-2999,台北市重慶南路一段2號5樓,安侯建業聯合會計師事務所,呂莉莉,尹元聖,PHD,"5F.-1, No.236, Liancheng Rd., Zhonghe District,New Taipei City 235, Taiwan (R.O.C.)",02-2223-1526,public@pharmadax.com,http://www.pharmadax.com,－,－,－,－,
13,4194,禾伸堂生技股份有限公司,禾生技,生技醫療業,－,台北市內湖區內湖路一段88號4樓,12681706,唐錦榮,吳宗忠,楊晴華,營運管理處副總經理,吳宗忠,0287975966,90/01/18,102/12/13,新台幣 10.0000元,1227384000,122738400,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,許明芳,陳蓓琪,HSHC,"4F, No. 88, Sec. 1, Neihu Rd., Neihu Dist.,Taipei, Taiwan, R.O.C.",0226279729,raymondyang@hshc.com.tw,www.hshc.com.tw,－,－,－,－,www.hshc.com.tw
14,4195,基龍米克斯生物科技股份有限公司,基米,生技醫療業,－,新北市汐止區新台五路一段100號14樓,12953452,周孟賢,江俊奇,江俊奇,總經理,許嘉如,2696-1658,90/10/16,102/12/16,新台幣 10.0000元,578916730,57891673,0,0,合併,每年,董事會,元富證券股務代理部,2768-6668,台北市松山區光復北路11巷35號B1,勤業眾信聯合會計師事務所,虞成全,陳重成,Genomics,"14F.,No.100,Sec.1,Xintai 5th Rd.,Xizhi Dist.,New Taipei City 221 .Taipei Taiwan",2696-1589,ir@genomics.com.tw,www.genomics.com.tw,－,－,－,－,www.genomics.com.tw
15,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
16,4197,暐世生物科技股份有限公司,暐世,生技醫療業,－,新竹市中華路六段335號,28031449,戴鏗碩,戴鏗碩,吳瑞斌,財務部協理,張治平,(03)518-1918,94/11/15,102/10/24,新台幣 10.0000元,301809250,30180925,0,0,合併,每年,股東會,元大證券股份有限公司,(02)2586-5859,台北市承德路三段210號B1、B2,勤業眾信聯合會計師事務所,劉書琳,施錦川,VIS,"No.335, Sec. 6, Zhonghua Rd.,Hsinchu City 30094, Taiwan",(03)518-1908,ir@visgeneer.com.tw,http://www.visgeneer.com.tw,－,－,－,－,
17,4732,彥臣生技藥品股份有限公司,彥臣,生技醫療業,－,(105)台北市松山區八德路三段36號6樓,12676817,黃中洋,董事長暫代,楊玉玲,財務長,賴函君,(02)2570-6300,89/12/29,96/12/25,新台幣 10.0000元,492900000,49290000,0,0,合併,每年,股東會,群益金鼎證券(股)公司股務代理部,(02)2702-3999,台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,鄧聖偉,顏裕芳,NBM,"6F., No.36, Sec. 3, Bade Rd.,Songshan Dist., Taipei City 105, Taiwan",(02)2570-6108,info@naturewise.com.tw,https://www.naturewiseppls.com/,－,－,－,－,https://www.naturewiseppls.com/investor-holdings/
18,4771,望隼科技股份有限公司,望隼,生技醫療業,－,苗栗縣竹南鎮公義里友義路66號3樓,53764125,黃修權,石安,張伯榮,業務處處長,李幸娟,(037)582900,101/05/10,110/11/02,新台幣 10.0000元,520077000,52007700,0,0,合併,每年,股東會,凱基證券股份有限公司股務代理部,(02)2389-2999,台北市中正區重慶南路一段2號5樓,勤業眾信聯合會計師事務所,劉裕祥,王兆群,VF,"3F, No.66,Youyi.Rd.,Kuan-Yuan Technology Park,Zhunan TownshipMiaoli County 35059, Taiwan (R.O.C.)",(037)582600,ir@vizionfocus.com,http://www.vizionfocus.com,－,－,－,－,http://www.vizionfocus.com
19,6493,雷虎生技股份有限公司,雷虎生,生技醫療業,－,台中市西屯區工業區六路七號2樓,53835304,陳冠如,蘇聖傑,黃圳樟,副總經理,張祐綾,0423595958,101/04/19,104/01/08,新台幣 10.0000元,240500000,24050000,0,0,個別,每季,董事會,元大證券股份有限公司,0225865859,10366台北市大同區承德路三段210號地下一樓,國富浩華聯合會計師事務所,蔡淑滿,李青霖,TTBIO,"2F,NO.7,6TH ROAD,INDUSTRY PARKTAICHUNG,TAIWAN R.O.C",0423594196,688@ttbio.com,www.ttbio.com,－,－,－,－,www.ttbio.com
20,6518,康科特股份有限公司,康科特,生技醫療業,－,新北市板橋區文化路一段266號12樓,25029519,劉靜怡,劉靜怡,劉福安,財務長,陳靜蘭,02-22545079,98/09/10,104/05/13,新台幣 10.0000元,250000000,25000000,0,0,合併,每年,股東會,元富證券股份有限公司,02-27686668,台北市松山區光復北路11巷35號地下一樓,資誠聯合會計師事務所,馮敏娟,吳漢期,Concordmed,"12F., No.266, Sec. 1, Wenhua Rd., Banqiao Dist.New Taipei City, Taiwan (ROC)",02-22512600,service@concordmed.com.tw,http://www.concordmed.com.tw,－,－,－,－,不適用
21,6539,麗彤生醫科技股份有限公司,麗彤,生技醫療業,－,台北市內湖區行愛路77巷63號6樓,53350764,張麗綺,李依芸,何明峰,財務長,張家綺,0227911826,100/06/21,104/10/15,新台幣 10.0000元,602613210,60261321,0,0,合併,每半會計年度,董事會,宏遠證券股份有限公司股務代理部,0277198899,台北市大安區信義路四段236號3樓,資誠聯合會計師事務所,徐明釧,支秉鈞,DV,"6F., No.63, Ln77, Xing'ai Rd., Neihu Dist.,Taipei, Taiwan (R.O.C.)",0227911756,info@dvbiomed.com,http://www.dvbiomed.com,－,－,－,－,https://www.dvbiomed.com/intro/detail/279
22,6543,普惠醫工股份有限公司,普惠醫工,生技醫療業,－,彰化縣北斗鎮大新里新工一路100號,23243578,東大發資產管理(股)公司 代表人:葉錫宜,陳宏仁,葉雅彤,財會主管,陳宏仁,04-8887998,78/04/17,108/03/27,新台幣 10.0000元,391800000,39180000,0,0,合併,每年,股東會,宏遠證券股份有限公司股務代理部,02-2326-8818,10680 台北市大安區信義路四段236號3樓,安永聯合會計師事務所,黃宇廷,涂清淵?,PF,"NO. 100, SHIN GONG 1 RD.PEI DOU ZHEN, CHANG HWA HSIEN, TAIWAN",04-8877313,emily@pwuhui.com.tw,http://www.perfectmedical.com.tw,－,－,－,－,http://www.perfectmedical.com.tw
23,6549,景凱生物科技股份有限公司,景凱,生技醫療業,－,新竹縣竹北市生醫路二段2號D207室,53394159,石英珠,袁鴻昌,袁鴻昌,總經理,莊欣惠,03-6587721,100/05/02,104/10/21,新台幣 10.0000元,751220000,75122000,0,0,個別,每年,股東會,富邦綜合證券股份有限公司,02-23611300,台北市許昌街17號2樓,勤業眾信聯合會計師事務所,陳明煇,方蘇立,TaiwanJ,"Rm. D207, No.2, Sec. 2, Shengyi Rd.,Zhubei City, Hsinchu County 302, Taiwan",03-6587787,info@taiwanj.com,http://taiwanj.com,－,－,－,－,無
24,6550,北極星藥業集團股份有限公司,北極星藥業-KY,生技醫療業,KY 開曼群島,"P.O. Box 309, Ugland House,Grand Cayman, KY1-1104, Cayman",24792045,陳鴻文,陳紹琛,林維源,副總經理,黃藍瑩,02-2656-2727,95/02/09,105/02/15,新台幣 10.0000元,7188351090,718835109,307065000,0,合併,每年,股東會,中國信託商業銀行代理部,02- 6636-5566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,梁嬋女,簡汎亞,PG,"2F-1, NO.298, Ruiguang Rd., Neihu DistTaipei, Taiwan",02-2656-2626,ir@polarispharma.com,www.polarispharma.com,－,－,－,－,無
25,6562,聯亞藥業股份有限公司,聯亞藥,生技醫療業,－,新竹縣湖口鄉光復北路45號,24626617,陳啟祥,陳啟祥,范瀛云,行政管理中心執行副總,許孟涵,03-5977676,103/07/31,110/06/23,新台幣 10.0000元,1053485330,105348533,0,0,合併,每年,股東會,永豐金證券股份有限公司,(02)2381-6288,100台北市中正區博愛路17號3樓,資誠聯合會計師事務所,劉倩瑜,林玉寬,UBIP,"No.45, Guangfu N. Rd., Hukou Township,Hsinchu County 30351, Taiwan",03-5981173,PR@ubi-pharma.com,http://www.ubi-pharma.com,－,－,－,－,http://www.ubi-pharma.com
26,6564,安特羅生物科技股份有限公司,安特羅,生技醫療業,－,台北市大安區敦化南路2段76號18樓之2,54665910,留忠正,張哲瑋,張哲瑋,總經理,楊青芬,02-27001216,103/01/10,107/09/18,新台幣 10.0000元,600000000,60000000,0,0,個別,每年,股東會,康和綜合證券(股)公司,02-87871118,台北市基隆路1段176號地下一樓,資誠聯合會計師事務所,劉美蘭,徐建業,ENIM,"18F.-2, No. 76, Sec. 2, Dunhua S. Rd., Da’an Dist., Taipei CityTaiwan (R.O.C.)",02-27063121,stock@enimmune.com.tw,www.enimmune.com.tw,－,－,－,－,www.enimmune.com.tw
27,6566,創益生技股份有限公司,創益,生技醫療業,－,台北市南港區園區街3-1號4樓A室,53226196,賴其相,簡重光,簡重光,總經理,吳昌民,02-2655-7339,100/04/28,105/01/20,新台幣 10.0000元,339356370,33935637,6963637,0,合併,每年,股東會,元大證券(股)公司股務代理部,02-2586-5859,台北市大同區承德路三段210號B1,安侯建業聯合會計師事務所,韓沂璉,池世欽,CYB,"Rm.A,4F., No.3-1, Park St., Nangang Dist.,Taipei City 115, Taiwan",02-2655-7338,IR@cybiotech.com.tw,http://www.cybiotech.com.tw/index.php,－,－,－,－,http://www.cybiotech.com.tw/investor-stakes.php
28,6572,博錸生技股份有限公司,博錸,生技醫療業,－,臺北市內湖區陽光街351號6樓之1,24489199,曹汀,曹汀,葉麗碧,首席財務長,黃勤修,26275878,98/12/17,105/02/26,新台幣 10.0000元,1036495100,103649510,33113000,0,合併,每年,股東會,元大證券股份有限公司,(02)25865859,台北市承德路三段210號地下一樓,資誠聯合會計師事務所,顏裕芳,鄧聖偉,PlexBio,"6F-1,No.351,Yangguang St., Neihu Dist.,Taipei City,11491.Taiwan",26275979,contact@plexbio.com,www.plexbio.com,－,－,－,－,http://www.plexbio.com.tw/about.aspx?unitid=4&lang=zh
29,6575,心悅生醫股份有限公司,心悅,生技醫療業,－,新北市汐止區新台五路一段99號20F-10,54179072,蔡果荃,蔡果荃,姜志翰,副總經理,顏怡真,02-77422699,102/04/02,105/01/29,新台幣 10.0000元,1208794920,120879492,8465212,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,安永聯合會計師事務所,余倩如,陳智忠,SyneuRx,"20F.-10, No.99, Sec. 1, Xintai 5th Rd., Xizhi Dist.New Taipei City, Taiwan",02-26972629,spokesman@syneurx.com,www.syneurx.com,－,－,－,－,無
30,6580,台睿生物科技股份有限公司,台睿,生技醫療業,－,台北市南港區三重路66號6樓之1,53529570,林群,簡督憲,朱伊文,資深副總經理,黃仕旗,(02)2653-5007,100/08/22,106/06/20,新台幣 10.0000元,892269080,89226908,3825000,0,合併,每年,股東會,元大證券股份有限公司股務代理部,(02)2586-5859,台北市大同區承德路三段210號B1,勤業眾信聯合會計師事務所,趙永祥,鄭欽宗,TaiRx,"6F-1, No. 66, San-Chung Road, Nankang Business ParkTaipei, Taiwan",(02)2653-5008,contact@trx.com.tw,https://www.trx.com.tw/,－,－,－,－,https://www.trx.com.tw/
31,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
32,6586,醣基生醫股份有限公司,醣基,生技醫療業,－,台北市南港區研究院路一段130巷99號7樓,54170142,陳肇隆,陳肇隆(暫代),陳肇隆(暫代),董事長,周依蓓,02-26558059,102/03/08,106/09/27,新台幣 10.0000元,1839185000,183918500,0,0,合併,每季,股東會,兆豐證券股份有限公司,02-33930898,100台北市中正區忠孝東路二段95號1樓,勤業眾信聯合會計師事務所,趙永祥,郭政弘,CHO,"7F., No. 99, Ln. 130, Sec. 1, Academia Rd., Nangang Dist.Taipei 11571, Taiwan",02-26558069,cho@chopharma.com.tw,www.chopharma.com,－,－,－,－,www.chopharma.com
33,6610,安成生物科技股份有限公司,安成生技,生技醫療業,－,台北市內湖區港墘路221巷41號8樓,25147136,吳怡君,翁竹君,翁竹君,總經理,盧威書,02-26571788,99/07/16,105/12/27,新台幣 10.0000元,674343950,67434395,0,0,個別,每年,股東會,中國信託商業銀行代理部,02-66365566,臺北市中正區重慶南路一段83號5樓,資誠聯合會計師事務所,鄧聖偉,游淑芬,TWi Biotech.,"8F, No.41, Lane 221, Kang Chien Rd.,Nei Hu Dist., Taipei 11494, Taiwan",02-26570270,info.tw@twibiotech.com,www.twibiotech.com,－,－,－,－,www.twibiotech.com
34,6617,共信醫藥科技控股股份有限公司,共信-KY,生技醫療業,KY 開曼群島,"P.O.Box 32052, Grand Cayman KY1-1208, Cayman Islands",42486336,吳崇漢,林懋元,林懋元,總經理,胡威男,02-2503-5282,103/03/27,106/02/08,新台幣 10.0000元,1099141000,109914100,0,0,合併,每年,股東會,永豐金證券股務代理部,02-2381-6288,臺北市博愛路17號3樓,資誠聯合會計師事務所,鄧聖偉,林玉寬,Gongwin,"3F, No. 80, Sec. 1, Jianguo North Road, Zongshan Dist.Taipei , Taiwan",02-2503-5281,share@gongwinbiopharm.com,www.gongwinbiopharm.com,－,－,－,－,建置中
35,6620,漢達生技醫藥股份有限公司,漢達,生技醫療業,－,南部科學園區 臺南市新市區南科三路23號3樓之1、3樓之2,24546157,劉芳宇,陳俊良,陳俊良,總經理,邱瓊儀,065057508,103/05/08,105/12/28,新台幣 10.0000元,1221300000,122130000,0,0,合併,每年,董事會,宏遠證券股份有限公司股務代理部,02-23268818,台北市大安區信義路四段236號,勤業眾信聯合會計師事務所,黃秀椿,吳世宗,Handa Pharma,"3F-1&3F-2, No23, Nanke 3rd Rd.,Xinshi Dist.,Tainan City 74147,Taiwan",065057502,IR@handapharma.com.tw,http://www.handapharma.com.tw,－,－,－,－,http://www.handapharma.com.tw
36,6621,華宇藥品股份有限公司,華宇藥,生技醫療業,－,台北市內湖區舊宗路二段171巷17號3樓,70680851,陳正,王愈善,王愈善,總經理,盧宜佑,(02)2658-2577,88/12/23,106/08/18,新台幣 10.0000元,355010000,35501000,0,0,個別,每年,股東會,第一金證券股份有限公司,(02)2563-5711,台北市大安區安和路一段27號6樓,資誠聯合會計師事務所,周筱姿,劉倩瑜,UniPharma,"3F., No.17, Ln. 171, Sec. 2, Jiuzong Rd., Neihu Dist.,Taipei City 114, Taiwan (R.O.C.)",(02)2658-3977,ir@uni-pharma.com,http://www.uni-pharma.com/,－,－,－,－,http://www.uni-pharma.com/
37,6633,萊鎂醫療器材股份有限公司,萊鎂醫,生技醫療業,－,新竹縣竹北市生醫路二段22號5樓,25181598,陳仲竹,陳仲竹,陳仲竹,執行長,黃振寧,03-5509623,99/03/17,106/05/09,新台幣 10.0000元,429385000,41938500,1400000,1000000,合併,每年,股東會,統一綜合證券,02-27463797,台北市松山區東興路8號B1,資誠聯合會計師事務所,蕭春鴛,周筱姿,Somnics,"5F, No.22, Sec.2, Shengyi Rd.Zhubei City,Hsinchu Country,Taiwan,R.O.C",03-5503633,Investor_Relations@somnics.com,www.somnics.com,－,－,－,－,無
38,6634,欣耀生醫股份有限公司,欣耀,生技醫療業,－,台北市南港區研究院路一段130巷99號C棟C516室,54727599,朱凱民,朱凱民,朱凱民,董事長兼總經理,熊正輝,02-27885365,103/06/18,106/06/29,新台幣 10.0000元,690087500,69008750,0,0,個別,每年,董事會,兆豐證券股份有限公司,02-33930898,100台北市中正區忠孝東路二段95號1樓,資誠聯合會計師事務所,游淑芬,林玉寬,SINEW,"C516, Building C, No.99, Lane 130, Sec.1, Academia Rd., Nangang Dist.Taipei City 115, Taiwan(R.O.C.)",02-27885382,info@sinewpharma.com,www.sinewpharma.com,－,－,－,－,www.sinewpharma.com
39,6637,醫影股份有限公司,醫影,生技醫療業,－,台北巿信義區忠孝東路五段510號19樓之2,86700973,謝穗徽,謝穗徽,車昕穎,財務長,何嘉娣,02-27279535,81/05/07,106/06/26,新台幣 10.0000元,214500000,21450000,0,0,合併,每年,股東會,永豐金證券股份有限公司,(02)2381-6288,台北市中正區博愛路17號3樓,安侯建業聯合會計師事務所,吳美萍,楊樹芝,MIC,"19F.-2, No.510, Sec. 5, Zhongsiao E. Rd., Xinyi Dist., Taipei CityTaiwan(R.O.C)",02-27271655,mic.tw@msa.hinet.net,http://www.mic-tw.com,－,－,－,－,http://www.mic-tw.com
40,6645,金萬林企業股份有限公司,金萬林,生技醫療業,－,新北市汐止區新台五路一段97號30樓,27348877,陳惠娥,陳惠娥,楊文明,財務長,吳佩珊,(02)26976888,93/08/06,106/08/18,新台幣 10.0000元,310000000,31000000,0,0,合併,每年,股東會,華南永昌綜合證券股份有限公司,(02)27186425,臺北市松山區民生東路四段54號4樓,資誠聯合會計帥事務所,黃金連,王照明,KIM FOREST,"30F., No.97, Sec. 1, Xintai 5th Rd., Xizhi Dist.,New Taipei City 221, Taiwan (R.O.C.)",(02)26976777,mgt@kimforest.com,www.kimforest.com,－,－,－,－,http://www.kimforest.com/index.php?action=investors
41,6652,雅祥生技醫藥股份有限公司,雅祥生醫,生技醫療業,－,台北市松山區民生東路三段135號6樓,27570215,張鴻仁,黃金鼎,黃金鼎,總經理,張婉雅,(02)2718-5128,94/03/16,107/08/29,新台幣 10.0000元,1370000000,137000000,0,0,合併,每年,股東會,元大證券股份有限公司,(02)2586-5859,台北市承德路三段210號地下一樓,資誠聯合會計師事務所,游淑芬,林玉寬,Eusol Bio,"6F.,No.135, Sec.3, Minsheng E. Rd., Songshan Dist.Taipei City,Taiwan(R.O.C.)",(02)2718-3118,IR@eusol.com.tw,http://www.eusol.com.tw,－,－,－,－,http://www.eusol.com.tw
42,6657,華安醫學股份有限公司,華安,生技醫療業,－,台北市瑞光路583巷21號6樓之3,53726093,邱壬乙,陳翰民,江銘燦,副總經理,林俊材,(02)2627-0835,101/08/28,107/08/08,新台幣 10.0000元,663710000,66371000,9909000,0,個別,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,臺北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,葉淑娟,黃國寧,ENERGENESIS,"6F.-3, No.21, Ln.583, Ruiguang Rd.,Neihu Dist., Taipei 11492, Taiwan",(02)2627-0836,EB@energenesis-biomedical.com,http://www.energenesis-biomedical.com,－,－,－,－,http://www.energenesis-biomedical.com
