9,1536,和大工業股份有限公司,和大,汽車工業,－,台中市大里區仁化路115號,52264848,沈國榮,陳俊智,陳俊智,總經理,沈千慈,04-25692299,62/01/16,90/09/17,新台幣 10.0000元,2795175130,279517513,0,0,合併,每年,股東會,元富證券股務代理部,02-27686668,台北市松山區光復北路11巷35號地下1樓,資誠聯合會計師事務所,吳松源,徐建業,HOTA,"NO.115, JEN-HUA RD.TALI,TAICHUNG , TAIWAN",04-25692578,terry-chen@hota.com.tw,www.hota.com.tw,陳俊智,總經理,04-25692299分機1234,terry-chen@hota.com.tw,www.hota.com.tw
10,1568,倉佑實業股份有限公司,倉佑,汽車工業,－,62154嘉義縣民雄鄉福樂村中山路18號,66654986,蘇祈澤,蘇祈祜,黃芳蕊,經理,蔡玫芳,05-2200888,74/01/16,103/05/14,新台幣 10.0000元,1030865590,103086559,0,0,合併,每年,董事會,凱基證券股份有限公司,02-23892999,台北市重慶南路1段2號5樓,勤業眾信聯合會計師事務所,江佳玲,劉裕祥,T.Y.,"No. 18 Chung-Shan Rd., Fu-Lo Village Min-Hsiung Industrial Park,Chia Yi County, Taiwan R.O.C.",05-2216811,public@tsangyow.com.tw,www.tsangyow.com.tw,黃芳蕊,經理,05-2200888#1130,rita@tsangyow.com.tw,http://www.tsangyow.com.tw/tw/shakeholder.php
11,1587,吉茂精密股份有限公司,吉茂,汽車工業,－,(52861)彰化縣芳苑鄉後寮村工區路28號,24157564,劉彥狄,劉彥狄,許乃龍,經理,蔡淑萍,(04)896-7892,73/08/22,107/04/16,新台幣 10.0000元,686244490,68624449,0,0,合併,每半會計年度,董事會,宏遠證券股份有限公司,02-7719-8899,台北市大安區信義路四段236號3樓,資誠聯合會計師事務所,劉美蘭,洪淑華,CM,"NO.28,KUNG-CHIU RD.,FANG-YUAN INDUSTRIAL DISTCHANGHUA,TAIWAN,R.O.C",(04)896-7907,info@cryomaxcooling.com,www.cryomaxcooling.com,許乃龍,經理,(04)23105666,nailong@cryomaxcooling.com,www.cryomaxcooling.com
12,1592,英瑞國際股份有限公司,英瑞-KY,汽車工業,KY 開曼群島,台南市安平區慶平路573號10樓,41134952,翁瑞蓮,翁瑞蓮,缺補,無,缺補,(06) 293-1556,98/11/19,103/10/16,新台幣 10.0000元,1109782500,110978250,0,0,合併,每年,股東會,永豐金證券(股)公司股務代理部,02 2381-6288,台北市100中正區博愛路17號3樓,缺補,缺補,缺補,Enterex,"10F., No.573, Qingping Rd., Anping Dist.,Tainan City 708, Taiwan (R.O.C.)",(06) 299-8584,wong@enterexinternational.com,http://www.enterexinternational.com/,翁瑞蓮,總經理,(06) 293-1556,chiang1592@enterexinternational.com,http://tw.enterexinternational.com/investors-govern.php?sn=5
13,2115,六暉控股股份有限公司,六暉-KY,汽車工業,KY 開曼群島,"The Grand Pavilion Commercial Centre, Oleander Way, 802 West",38773146,許廉凱,許秀華,張琪琪,總經理室協理,吳科里,04-8748122,98/10/19,102/12/25,新台幣 10.0000元,994030130,99403013,0,0,合併,每年,股東會,永豐金證券股務代理部,(02)2381-6288,台北市博愛路17號3樓,國富浩華聯合會計師事務所,林明壽,邵朝彬,LU HAI,"NO. 64, Shing-Kong 5 Rd., Tien-Chung Industrial District, Tien-Chung,Chang-Hua Taiwan(R.O.C)",04-8747116,luhai.lhh@luhai.com.tw,http://www.luhai.com.tw,張琪琪,總經理室協理,0937462115,spokesman@luhai.com.tw,http://www.luhai.com.tw/ch/investor_detail.asp?id=7
14,2201,裕隆汽車製造股份有限公司,裕隆,汽車工業,－,苗栗縣三義鄉西湖村伯公坑39號之1,03489200,嚴陳莉蓮,姚振祥,羅文邑,協理,謝曛圭,037-871801,42/09/10,65/07/08,新台幣 10.0000元,10000000000,1000000000,0,0,合併,每年,股東會,裕隆汽車製造股份有限公司股務組,02-25156421,台北市南京東路二段150號7樓,勤業眾信聯合會計師事務所,郭俐雯,范有偉,YL,"39-1,PO KONG KENG,SAN YI, MIAO LI HSIEN,TAIWAN R.O.C",037-874790,webmaster@yulon-motor.com.tw,www.yulon-motor.com.tw,羅文邑,協理,037-871801-2901,wy.lo@yulon-motor.com.tw,http://www.yulon-motor.com.tw/csr_stakeholder.aspx
15,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
16,2204,中華汽車工業股份有限公司,中華,汽車工業,－,台北市敦化南路二段二號十一樓,03098415,嚴陳莉蓮,陳昭文,錢經武,副總經理,賴慧君,02-23250000,58/06/13,80/03/12,新台幣 10.0000元,5536203420,553620342,0,0,合併,每年,股東會,中華汽車工業股份有限公司,02-25156421,台北市南京東路二段150號7樓,勤業眾信聯合會計師事務所,翁雅玲,許秀明,CMC,"11F,NO.2 Tun Hwa S. RD., SEC.2Taipei,R.O.C.",02-27082913,0800@china-motor.com,WWW.CHINA-MOTOR.COM.TW,吳國華,經理,03-4783191#8224,873246@china-motor.com,WWW.CHINA-MOTOR.COM.TW
17,2206,三陽工業股份有限公司,三陽工業,汽車工業,－,新竹縣湖口鄉鳳山村中華路3號,24004006,吳清源,吳清源,田人豪,協理,黃貴金,(03)5981911,50/08/29,85/07/29,新台幣 10.0000元,7976396040,797639604,0,0,合併,每半會計年度,股東會,康和綜合證券股份有限公司,(02)87871888,台北市信義區基隆路一段176號B1,安侯建業聯合會計師事務所,陳宗哲,黃欣婷,SYM,3 Chung Hua Road HukouHsinchu Taiwan R.O.C,(03)5983378,sy2206@sym.com.tw,www.sanyang.com.tw,田人豪,協理,(03)5981911*1591,93328@sym.com.tw,http://www.sanyang.com.tw/Stakeholder/
18,2207,和泰汽車股份有限公司,和泰車,汽車工業,－,台北市中山區松江路121號8~14樓,03251108,黃南光,蘇純興,劉松山,協理,謝琴韻經理,02-2506-2121,44/04/25,86/02/25,新台幣 10.0000元,5461791840,546179184,0,0,合併,每年,董事會,統一綜合證券股份有限公司,02-2747-8266,105台北市松山區東興路8號B1樓,資誠聯合會計師事務所,吳郁隆,王方瑜,HOTAI MOTOR,"8-14F,No.121,Sung Chiang Rd.,Taipei,Taiwan,R.O.C.",02-25041749,EK010@hotaimotor.com.tw,www.hotaimotor.com.tw,戴恒祜,經理,02-2506-2121,alex@hotaimotor.com.tw,http://pressroom.hotaimotor.com.tw/zh/shareholder/feedback/fIOFUXWMm
19,2227,裕隆日產汽車股份有限公司,裕日車,汽車工業,－,苗栗縣三義鄉西湖村伯公坑三十九號之二,80032530,嚴陳莉蓮,蔡文榮,鐘文川,副總經理,林淑霞,(037)875881,92/10/22,93/12/21,新台幣 10.0000元,3000000000,300000000,0,0,合併,每年,股東會,自辦,(02)25156421,台北市南京東路二段一百五十號七樓,勤業眾信聯合會計師事務所,謝建新,池瑞全,YNM,"39-2 Po Kung Keng, Shi Hu Tsuen, San Yi ShiangMiao Li Hsien, Taiwan, R.O.C.",(037)874983,yulon-nissan.ir@yulon-nissan.com.tw,www.nissan.com.tw,鐘文川,副總經理,(037)875881-1601,yulon-nissan.ir@yulon-nissan.com.tw,http://new.nissan.com.tw/nissan/brand/csr#/stakeholder
20,2228,劍麟股份有限公司,劍麟,汽車工業,－,(221)新北市汐止區新台五路一段98號19樓,04359789,黃正怡,黃正忠,陳立儂,協理,林鼎鈞,(02)2696-2818,66/04/27,102/11/25,新台幣 10.0000元,757802810,75780281,0,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,台北市大同區承德路三段210號B1,資誠聯合會計師事務所,陳晉昌,林一帆,IRF,"19F, No.98, Sec 1, Sintai 5th Rd., Sijhih Dist.,New Taipei City 221, Tawian R.O.C.",(02)2696-2737,announcer@irf.com.tw,www.ironforce.com.tw,陳立儂,協理,(02)2696-2818,announcer@irf.com.tw,http://www.ironforce.com.tw/5_interestedpeople.html
21,2231,為升電裝工業股份有限公司,為升,汽車工業,－,彰化縣福興鄉番婆村彰鹿路六段546巷6號,23219346,尤山泉,尤山泉,紀雅鈴,處長,陳俐利,(04)778-2010,78/01/09,99/11/19,新台幣 10.0000元,1219166650,121916665,0,0,合併,每年,股東會,第一金證券(股)公司股務代理部,(02)2563-5711,台北市安和路一段27號6樓,安侯建業聯合會計師事務所,陳政學,張字信,CUB,"NO.6,LANE 546,SEC.6,CHANG LU RD,FUHSIN HSIANGCHANGHUA COUNTY,TAIWAN",(04)778-2009,kevin@cubelec.com,http://www.cubelec.com,紀雅鈴,處長,04-7782010,investor@cubelec.com,http://www.cubelec.com
22,2233,宇隆科技股份有限公司,宇隆,汽車工業,－,台中市梧棲區經二路59號,22702791,劉俊昌,蔡銘東,劉信宏,總管理處協理,吳曉蕊,04-26575790,76/12/29,108/09/17,新台幣 10.0000元,602880890,60288089,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,安永聯合會計師事務所,黃子評,黃宇廷,TURVO,"NO.59,Jing Er Rd.,Wuci Dist.,Taichung City,Taiwan",04-26575780,sales@mail.turvo.com.tw,http://www.turvo.com.tw/,劉信宏,總管理處協理,04-26575790#2001,brian-liu@turvo.com.tw,http://www.turvo.com.tw/interest_area.php
23,2236,百達精密工業股份有限公司,百達-KY,汽車工業,KY 開曼群島,台北市中山區南京東路二段137號14樓,42299452,黃亮茳,黃泓杰,黃泓杰,總經理,許書祥,(02)7751-9850,100/06/29,104/06/03,新台幣 10.0000元,457597030,45759703,0,0,合併,每半會計年度,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,陳晉昌,林一帆,Patec,"14F., No.137, Sec. 2, Nanjing E. Rd., Zhongshan Dist.Taipei City 104475, Taiwan(R.O.C)",(02)7730-1508,seanhsu@patec-intl.com,www.patec-intl.com,許書祥,財務長,7751-9851,seanhsu@patec-intl.com,www.patec-intl.com
24,2239,開曼英利工業股份有限公司,英利-KY,汽車工業,KY 開曼群島,彰化縣彰化市中山路二段349號8樓,47423487,林啟彬,林啟彬,白秉諺,副理,白秉諺,04-7284956,104/01/16,105/01/27,新台幣 10.0000元,1180070000,118007000,0,0,合併,每年,股東會,永豐金證券股務代理部,(02)2381-6288,台北市博愛路17號3樓,資誠聯合會計師事務所,劉美蘭,徐建業,Cayman Engley,"8F., No.349, Sec. 2, Zhongshan Rd.,Changhua City, Changhua County, Taiwan",04-7287149,spokesman@engley.net,www.engley.com,白秉諺,發言人,(886)966-012239,baibingyan@engley.net,http://www.engley.com/in_about_1.html
25,2241,艾姆勒車電股份有限公司,艾姆勒,汽車工業,－,新北市林口區文化三路二段455號10樓,53418357,林啟聖,游智瓊,林明海,發言人,陳定宇,2602-6787#100,100/06/24,109/08/26,新台幣 10.0000元,896023060,89602306,0,0,個別,每年,股東會,元大證券股份有限公司股務代理部,02-2586-5859,台北市承德路3段210號地下一樓,資誠聯合會計師事務所,邱昭賢,杜佩玲,Amulaire,"10F. No. 455, Sec. 2, Wenhua 3rd Rd.,Linkou Dist., New Taipei City, Taiwan",02-2602-6991,ir@amulaire.com,www.amulaire.com,陳定宇,財務處協理,2602-6787,ir@amulaire.com,www.amulaire.com
26,2243,宏旭控股股份有限公司,宏旭-KY,汽車工業,KY 開曼群島,24447新北市林口區文化一路一段86號2樓,55996613,林維源,林維源,游裕明,董事會秘書,寧聖飛,0901102243,104/03/24,106/09/27,新台幣 10.0000元,461324420,46132442,0,0,合併,每年,股東會,富邦綜合證券股務代理部,(02)23611300,台北市中正區許昌街17號2樓,資誠聯合會計師事務所,陳晉昌,邱昭賢,HS,"2F., No.86, Sec. 1, Wenhua 1st Rd., Linkou Dist., New Taipei City 244, TaiwanNew Taipei City 24447, Taiwan (R.O.C.)",02-26088718,hs@horngshiue.com,http://www.horngshiue.com,游裕明,董事會秘書,0901102243,hs@horngshiue.com,http://www.horngshiue.com/invest.asp
27,2247,汎德永業汽車股份有限公司,汎德永業,汽車工業,－,台北市內湖區行愛路100號6樓,20838245,唐慕蓮,杜黃旭,杜黃旭,總經理,紀千田,02-37666689,68/11/07,109/10/12,新台幣 10.0000元,807087350,80708735,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號B2,勤業眾信聯合會計師事務所,施錦川,鄭淂蓁,PGUM,"6F., No.100, Xing’ai Rd., Neihu Dist.,Taipei City 11494, Taiwan(R.O.C)",02-87918580,contact@email.pgum.com.tw,http://www.pgum.com.tw,紀千田,財務長,02-37666689,contact@email.pgum.com.tw,https://www.pgum.com.tw/zh-tw/investor_interested/index
28,2250,第一化成控股(開曼)股份有限公司,IKKA-KY,汽車工業,KY 開曼群島,新竹縣關西鎮深坑子3-1號,91165085,胡湘麒,小原正美,胡湘麒,策略長,江碩彥,035870928,105/03/31,110/05/31,新台幣 10.0000元,270000000,27000000,0,0,合併,每年,董事會,中國信託商業銀行 代理部,(02)6636-5566,台北市中正區重慶南路一段八十三號五樓,資誠聯合會計師事務所,阮呂曼玉,蔡亦臺,IKKA-KY,"NO.3-1,SHENKENGZI,GUANXI TOWNSHIPHSINCHU COUNTY TAIWAN(R.O.C)",035870508,ikka@ikka.com.tw,www.ikka.com.tw,莊雅惠,經理,035870928#2101,karan.chuang@ikka.com.tw,http://www.ikka.com.tw/msg/message-Stakeholder-Area.html
29,2497,怡利電子工業股份有限公司,怡利電,汽車工業,－,彰化縣伸港鄉溪底村工東一路37號,59334664,陳錫勳,陳錫勳,柯茂全,總管理處副總,呂運志,04-7977277,72/06/22,91/02/04,新台幣 10.0000元,1187984630,118798463,0,0,合併,每年,股東會,元大證券(股)公司股務代理部,02-2586-5859,台北市大同區承德路三段210號B1,安永聯合會計師事務所,涂清淵,陳明宏,E-LEAD,"NO.37,GUNGDUNG 1ST RD.,SHENGANG SHIANGCHANGHUA, TAIWAN,R.O.C",04-7977271,ir@e-lead.com,HTTP://www.e-lead.com.tw,柯茂全,總管理處處長,04-7977277,rofic@e-lead.com,HTTP://www.e-lead.com.tw
30,3346,麗清科技股份有限公司,麗清,汽車工業,－,新北市中和區民享街4號,16992625,劉美秀,劉美秀,李鋆辰,財務處協理,馮國治,(02)22226112,88/08/27,105/12/19,新台幣 10.0000元,965315000,96531500,0,0,合併,每年,股東會,元大證券股份有限公司,(02)25865859,台北市承德路三段210號B1,勤業眾信聯合會計師事務所,黃堯麟,陳致源,Laster Tech,"No.4, Minxiang St.,Zhonghe Dist., New Taipei City, Taiwan",(02)22226196,sweeoadmin@lastertech.com,www.lastertech.com,李鋆辰,財務處協理,(02)22226112,kennethlee@lastertech.com,http://www.lastertech.com/?lang=1&TTo=zh-tw
31,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
32,4551,智伸科技股份有限公司,智伸科,汽車工業,－,新北市汐止區新台五路一段102號16樓,22363342,林正盛,林恩道,林慈青,市場行銷部協理,顏瑞全,(02)2696-2060,76/02/18,104/08/10,新台幣 10.0000元,1152224980,115222498,0,0,合併,每年,董事會,永豐金證券股務代理部,(02)2381-6288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,翁博仁,郭乃華,GLOBAL PMX,"16F, No.102, Sec. 1, Xintai 5th Rd., Xizhi Dist.,New Taipei City 221, Taiwan (R.O.C)",(02)2696-2202,maggie_lin@global.com.tw,http://www.global.com.tw,林慈青,市場行銷處協理,(02)26962060#260,maggie_lin@global.com.tw,http://www.global.com.tw
33,4557,永新控股股份有限公司,永新-KY,汽車工業,KY 開曼群島,嘉義市吳鳳北路381號5樓,42323896,紀經得,許耀仁,張原智,財務長,陳佳成,05-2788687,100/02/14,104/10/12,新台幣 10.0000元,419718400,41971840,0,0,合併,每年,股東會,兆豐證券股份有限公司股務代理部,02-33930898,台北市忠孝東路二段95號1樓,資誠聯合會計師事務所,陳憲正,梁益彰,Yusin,"5th Floor, No.381, Wufong N. Rd.Chiayi City, Taiwan (R.O.C.)",05-2789699,ir@yusin.com,www.yusin.com,張原智,財務長,05-2788687#213,ir@yusin.com,www.yusin.com
34,4581,World Known MFG(Cayman)Limited,光隆精密-KY,汽車工業,KY 開曼群島,台中市大雅區雅潭路三段470號,87027821,呂皇甫,黃雨亭,余聖芬,財務長,曾國銑,886-425677958,104/11/19,109/03/09,新台幣 10.0000元,338990000,33899000,0,0,合併,每年,股東會,日盛證券股份有限公司股務代理部,02-2541-9977,台北市南京東路二段85號7樓,安侯建業聯合會計師事務所,陳政學,張字信,WKG,"No. 470, Sec. 3, Yatan Rd., Daya Dist.,Taichung City 428, Taiwan (R.O.C.)",886-425677929,wkg4581@wkgroup.com,www.wkgroup.com,余聖芬,財務長,04-25677958#8981,wkg4581@wkgroup.com,www.wkgroup.com
35,6288,聯嘉光電股份有限公司,聯嘉,汽車工業,－,(35053)新竹科學工業園區苗栗縣竹南鎮科東一路二號,89396315,黃國欣,黃昉鈺,吳俊德,副總經理,林君宙,(037)539000,84/06/13,107/05/09,新台幣 10.0000元,1826840700,182684070,0,0,合併,每年,董事會,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號地下一樓,勤業眾信聯合會計師事務所,陳明煇,黃裕峰,EOI,"No. 2, Kedong 1st Road, Chunan Town, Miaoli County,Hsinchu Science Park, Taiwan, R.O.C.",(037)585566,ir@eoi.com.tw,www.eoi.com.tw,林君宙,財務長,(037)539000,ir@eoi.com.tw,www.eoi.com.tw
36,6605,帝寶工業股份有限公司,帝寶,汽車工業,－,彰化縣鹿港鎮頭南里南勢巷20-3號,59347422,謝氣,許 (余又) 銘,呂理豐,經理,胡源隆,(04)772-2311,69/04/25,93/03/17,新台幣 10.0000元,1658163970,165816397,0,0,合併,每年,股東會,凱基證券股份有限公司,(02)2389-2999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,蘇定堅,蔣淑菁,DEPO,"NO.20-3 , NAN SHIN LANE LU KANG CHEN, CHANG HUA SHIEN, TAIWAN",(04)771-0725,af010@depoautolamp.com,www.depoautolamp.com,呂理豐,經理,(04)772-2311,edward@depoautolamp.com,http://www.depoautolamp.com/investor_tw_1.php
