,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
10,3081,聯亞光電工業股份有限公司,聯亞,通信網路業,－,台南市善化區南科九路12號,16022634,張景溢,羅淇生,楊吉裕,財務長,吳雅芳,(06)5058999,86/06/02,104/07/22,新台幣 10.0000元,913691770,91369177,0,0,個別,每年,股東會,華南永昌綜合證券(股)公司,(02)27186425,台北市松山區民生東路四段54號4樓,安侯建業聯合會計師事務所,蘇彥達,許振隆,LandMark,"No.12,Nanke 9th Rd,Shanhua Dist.Tainan City, Taiwan R.O.C",(06)5055189,investor@lmoc.com.tw,www.lmoc.com.tw,楊吉裕,財務長,(06)5058999,investor@lmoc.com.tw,http://www.lmoc.com.tw/index.php?option=module&lang=cht&task=showlist&id=24&index=2
11,3088,艾訊股份有限公司,艾訊,電腦及週邊設備業,－,新北市汐止區南興路55號8樓,23718011,楊裕德,黃瑞南,黃士青,資深特別助理,許錦娟,(02)8646-2111,79/05/11,94/04/28,新台幣 10.0000元,884828650,88482865,0,0,合併,每年,董事會,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,馮敏娟,吳漢期,AXIOMTEK,"8F., No.55, Nanxing Road, Xizhi DistrictNew Taipei City 221026, Taiwan",(02)8646-2555,jane.hsu@axiomtek.com.tw,http://www.axiomtek.com.tw,黃士青,資深特別助理,(02)8646-2111#8010,IR@axiomtek.com.tw,http://www.axiomtek.com.tw/Default.aspx?MenuId=AboutUs&ItemId=195&C=%E5%88%A9%E5%AE%B3%E9%97%9C%E4%B
12,3089,億杰科技股份有限公司,億杰,電子零組件業,－,台北市內湖區內湖路一段118號4樓,84167600,徐志明,曾建銘,張永昌,副總經理,李林儒,02-87518337,82/01/21,92/10/14,新台幣 10.0000元,651133140,65113314,35492897,0,合併,每年,股東會,國票證券股份有限公司股務代理部,02-2528-8988,臺北市松山區南京東路五段188號15樓,勤業眾信聯合會計師事務所,翁博仁,王儀雯,EJECTT INC,"4F., No.118, Neihu Road, Sec.1, Neihu Dist.,Taipei City 11493, Taiwan (R.O.C.)",02-87971665,service@ejecttinc.com,www.ejecttinc.com,張永昌,副總經理,02-87518337,raychang@ejecttinc.com,www.ejecttinc.com
13,3093,台灣港建股份有限公司,港建,其他電子業,－,桃園市蘆竹區南崁路2段66號5樓之4,04655310,何樹燦,廖豐瑩,廖豐瑩,總經理,陳梅芬,03-3529333,66/06/14,94/06/17,新台幣 10.0000元,362888940,36288894,0,0,合併,每年,董事會,永豐金證券股份有限公司,02-23816288,台北市中正區博愛路17號3樓,安永聯合會計師事務所,張志銘,徐榮煌,TKK,"5F-4 NO.66,SEC2.Nan Kan Road.Lu-Chu,Taoyuan,Taiwan,R.O.C",03-3524566,Nina_Lin@tkk.com.tw,www.tkk.com.tw,陳梅芬,管理部資深副總,+88633529332 #320,May_Chen@tkk.com.tw,www.tkk.com/website/finance/website/financeD2.asp
14,3095,及成企業股份有限公司,及成,通信網路業,－,新北市中和區建二路111號,33724081,張正寬,張正寬(兼任),張宏羽,營運總經理,周忠賢,(02)2222-6638,62/03/23,94/05/26,新台幣 10.0000元,1092763210,109276321,19215846,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,卓群聯合會計師事務所,方冠智,葉璨增,CCC,NO.111 Chien-Er RdChung-Ho City Taipei Taiwan ROC,(02)2225-6240,jones.chou@chicheng.com.tw,http://www.chicheng.com.tw,周忠賢,處長,02-22226638#17000,jones.chou@chicheng.com.tw,http://www.chicheng.com.tw/tc/p7-investor-detail.asp?id=1
15,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
16,3105,穩懋半導體股份有限公司,穩懋,半導體業,－,桃園市龜山區華亞科技園區科技七路69號,70752257,陳進財,陳國樺,曾經洲,協理,吳俐蓁/ 陳敬昉,03-397-5999,88/10/16,100/12/13,新台幣 10.0000元,4239763840,423976384,0,0,合併,每年,董事會,福邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,安侯建業會計師事務所,唐嘉鍵,黃明宏,WIN,"No.69, Keji 7th Rd., Hwaya Technology ParkGuishan Dist., Taoyuan City, Taiwan",03-397-5009,ir@winfoundry.com,www.winfoundry.com,吳俐蓁/ 陳敬昉,經理暨代理發言人/ 代理發言人,03-3975999#1204/1202,ir@winfoundry.com,http://www.winfoundry.com/zh_TW/stakeholders.aspx
17,3114,好德科技股份有限公司,好德,電子零組件業,－,台北市松山區敦化南路一段25號6樓,20799897,陳國鴻,吳麗山,王昌惠(暫代),稽核主管,王昌惠,02-25708818,67/09/23,93/03/25,新台幣 10.0000元,590800000,59080000,0,0,合併,每年,股東會,元富證券股份有限公司,02-27686668,台北市光復北路11巷35號B1,安永聯合會計師事務所,王瑄瑄,張志銘,HT,"6th Floor, No. 25, Tun Hwa S. Rd., Sec. 1 Taipei City, Taiwan, R.O.C.",02-25709888,angle@howteh.com.tw,www.howteh.com.tw,張大千,財務長,02-2570-8818,samchang@howteh.com.tw,www.howteh.com.tw/big5/investor/
18,3115,寶島極光股份有限公司,寶島極,電子零組件業,－,桃園市蘆竹區南山路一段280號,86825235,張嘉顯,張嘉顯,張嘉顯,總經理,陳文彬,(02)28816777,81/08/13,94/04/08,新台幣 10.0000元,436976000,43697600,23000000,0,合併,每年,股東會,元富證券股份有限公司,(02)2768-6668,台北市光復北路11巷35號B1樓,霈昇聯合會計師事務所,林育雅,王新元,TSC,"No.280, Sec.1, Nanshan Rd., Luzhu Dist.Taoyuan City 338, Taiwan",(02)28820829,abin@tscl.com.tw,http://www.tscl.com.tw,張嘉顯,總經理,(02)28816777,jack.chang@tscl.com.tw,http://www.tscl.com.tw
19,3122,笙泉科技股份有限公司,笙泉,半導體業,－,(30288)新竹縣竹北市台元一街8號7樓之一,16945166,溫國良,溫國良(執行長),廖崇榮,處長,陳麗娟,03-5601501,88/06/21,104/01/26,新台幣 10.0000元,382999340,38299934,0,0,合併,每年,董事會,群益金鼎證券(股)公司股務代理部,02-2702-3999,台北市大安區敦化南路二段97號B2,勤業眾信聯合會計師事務所,葉東煇,高逸欣,Megawin,"7F-1, No. 8, Taiyuan 1st St., Jhubei City, Hsinchu County 30288,Hsin-Chu County, Taiwan",03-5601510,sholder@megawin.com.tw,www.megawin.com.tw,洪仙玲,協理,03-6234096,sholder@megawin.com.tw,www.megawin.com.tw/zh-tw/about/index/34
20,3128,昇銳電子股份有限公司,昇銳,光電業,－,桃園市八德區長興路六七三號,22601576,江添貴,江送貴,蕭哲彥,副總經理,江送貴,03-3653121,76/09/23,95/09/04,新台幣 10.0000元,420000000,42000000,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,陳重成,陳招美,HI SHARP,NO. 673 CHANG SHING ROAD PA TE CITY TAOYUAN TAIWAN R.O.C.,03-3658688,fred@hisharp.com.tw,www.hisharp.com,江玉蓮,主任,03-3653121分機512,lita@hisharp.com.tw,www.hisharp.com/index.php/zh/layout-38/layout-16
21,3131,弘塑科技股份有限公司,弘塑,其他電子業,－,30095新竹市香山區中華路六段89號,84355899,張鴻泰,石本立,黃富源,副總經理,張鴻泰,03-5183030,82/05/07,100/01/17,新台幣 10.0000元,292160150,29216015,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-2702-3999,106台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,李典易,謝智政,GPTC,"No.89, Sec. 6, Zhonghua Rd., Xiangshan Dist.,Hsinchu City 30095, Taiwan (R.O.C.)",03-5183560,invest@gptc.com.tw,http://www.gptc.com.tw/,莊凱吉,經理,03-5183030 ext.2002,invest@gptc.com.tw,http://www.gptc.com.tw/tw/qa
22,3141,晶宏半導體股份有限公司,晶宏,半導體業,－,台北市內湖區瑞光路618號4樓,70392248,徐豫東,徐豫東,徐豫東,總經理,王聖芳,02-87978947,88/08/14,103/03/14,新台幣 10.0000元,744499280,74449928,0,0,合併,每年,股東會,福邦證券股份有限公司,02-2371-1658,台北市中正區忠孝西路一段六號六樓,勤業眾信聯合會計師事務所,黃海悅,廖婉怡,UltraChip,"4F, No. 618, Ruiguang Rd, Nei Hu Dist Taipei, Taiwan, R.O.C.",02-87978910,invest@ultrachip.com,www.ultrachip.com,王聖芳,協理,87978947,invest@ultrachip.com,www.ultrachip.com
23,3147,大綜電腦系統股份有限公司,大綜,資訊服務業,－,高雄市左營區民族一路1163號,86059612,李志忠,曾振順,洪明和,經理,林泳,07-3458011,80/10/14,107/05/29,新台幣 10.0000元,390060990,39006099,0,0,合併,每年,董事會,華南永昌綜合證券股份有限公司,02-27186425,台北市民生東路四段54號4樓,資誠聯合會計師事務所,廖阿甚,王國華,JETWELL,"No.1163,MIN TSU 1ST ROAD,KAOHSIUNG,TAIWAN",07-3458433,jetwell@mail.jetwell.com.tw,http://www.jetwell.com.tw,林泳,經理,07-3458011,ellin@mail.jetwell.com.tw,
24,3152,璟德電子工業股份有限公司,璟德,通信網路業,－,新竹縣湖口鄉新竹工業區自強路16號,16443570,雙德投資股份有限公司-代表人郭建文,郭建文,周賢亮,經理,吳明信,(03)5987008,87/04/15,97/03/24,新台幣 10.0000元,690162000,69016200,0,0,個別,每年,股東會,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號地下一樓,安侯建業聯合會計師事務所,曾渼鈺,呂倩慧,ACX,"16 Tzu Chiang Road, Hsinchu Industrial DistrictHsinchu Hsien, Taiwan, 30352",(03)5987001,acx@acxc.com.tw,http://www.acxc.com.tw,周賢亮,經理,03-5987008,invest@acxc.com.tw,http://www.acxc.com.tw/non-con.php?page=9
25,3163,波若威科技股份有限公司,波若威,通信網路業,－,新竹科學園區工業東九路30號3樓,16586555,鄭萬來,黃裕文,張文樵,副總經理,黃淑君,035630099,87/05/18,101/12/03,新台幣 10.0000元,752868990,75286899,0,0,合併,每年,董事會,凱基證券股份有限公司股務代理部,(02)2389-2999,台北市重慶南路一段2號5樓,資誠會計師事務所,李典易,林玉寬,Browave,"3F, No.30, Industry East. Road IX, Hsinchu Science Park Hsin Chu 30075, Taiwan, ROC",035630022,browave3163@browave.com,http://www.browave.com,余珍妮,特別助理,035630099#3163,jeannette.yu@browave.com,http://www.browave.com
26,3169,亞信電子股份有限公司,亞信,半導體業,－,新竹科學園區新竹市新安路8號4樓,84149435,王春旗,詹勇達,王春旗,策略長,范振鋒,03-5799500,84/05/12,98/11/24,新台幣 10.0000元,621969810,62196981,12395396,0,合併,每年,股東會,宏遠證券股份有限公司,02-77198899,台北市大安區信義路四段236號3樓,安侯建業聯合會計師事務所,黃海寧,呂倩慧,ASIX,"4F, NO 8, Hsin Ann Rd., Hsinchu Science Park,Hsinchu, Taiwan, R.O.C.",03-5639799,investor@asix.com.tw,https://www.asix.com.tw,蔡敏玲,協理,03-5799500,csr@asix.com.tw,https://www.asix.com.tw
27,3191,和進電子股份有限公司,和進,電子零組件業,－,台北市中正區中華路一段7號6樓之8,86105242,張瑞麟,張瑞麟,鄭發全,財務長,鍾孔豪,02-23123081,80/12/12,94/04/12,新台幣 10.0000元,571947610,57194761,2500000,0,合併,每年,股東會,福邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,卓群聯合會計師事務所,葉璨增,曾友龍,HOLD JINN,"6F.-8, No.7, Sec. 1, Zhonghua Rd., Zhongzheng Dist.,Taipei City 10043, Taiwan (R.O.C.)",02-23123082,hugh@holdjinn.com,http://www.holdjinn.com.tw,鄭發全,財務長,02-23123081,hugh@holdjinn.com,http://www.holdjinn.com.tw
28,3202,樺晟電子股份有限公司,樺晟,電子零組件業,－,台北市南港區南港路3段50巷16號4F,39607700,魏孝秦,魏孝秦,黃一軒,副總經理,魏孝秦,27825881,73/03/24,94/07/26,新台幣 10.0000元,1171648700,117164870,0,0,合併,每年,股東會,元大證券股務代理部,0225865859,台北市大同區承德路三段210號B1.B2,馬施云大華聯合會計師事務所,郭思琪,羅玟忻,HIGH-TEK,4FL. NO. 16. LANE 50. SEC. 3 NAN-KANG RDTAIPEI. TAIWAN. ROC.,27828879,curtis_huang@high-tek.com.tw,http://www.high-tek.com.tw,黃一軒,副總經理,27825881-2344,curtis_huang@high-tek.com.tw,http://www.high-tek.com.tw
29,3206,志豐電子股份有限公司,志豐,電子零組件業,－,新北市淡水區中正東路二段69-11號10樓,31109687,張演堂,張演堂,葉方瑜,執行副總經理,吳惠燕,02-2809-5651,68/07/24,96/02/08,新台幣 10.0000元,589166210,58916621,0,0,合併,每年,股東會,永豐金證券股份有限公司,(02)2381-6288,台北市博愛路17號3樓,安侯建業聯合會計師事務所,黃柏淑,吳仲舜,KINGSTATE,"10F., No.69-11, Sec. 2, Zhongzheng E. Rd., Danshui Dist.,New Taipei City 251, Taiwan (R.O.C.)",02-2809-7151,milliewu@kingstate.com.tw,www.kingstate.com.tw,吳惠燕,經理,(02)28095651,Milliewu@kingstate.com.tw,http://www.kingstate.com.tw/index.php/tw/spokesman
30,3207,耀勝電子股份有限公司,耀勝,電子零組件業,－,新北市土城區忠承路95號10樓,86534980,蘇浩熙,邱明發,邱明發,總經理,蘇小慧,02-22693789,81/01/13,93/11/04,新台幣 10.0000元,437703410,43770341,4250000,0,合併,每年,股東會,褔邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,安侯建業聯合會計師事務所,張淑瑩,陳國宗,YAO SHENG,"10TH FL, NO.95, Zhongcheng Road,Tucheng City,Taipei County, Taiwan,R.O.C",02-22696759,ystrns@yselectronic.com,www.top-nation.com,邱明發,總經理,(02)22693789,ystrns@yselectronic.com,http://www.top-nation.com/stock.html
31,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
32,3211,順達科技股份有限公司,順達,電腦及週邊設備業,－,桃園市龜山區文禾路188號13樓,16596982,鍾聰明,許諸靜,林郁蕙,財務處資深副總經理,劉品彤,(03)396-3399,87/07/15,93/11/08,新台幣 10.0000元,1474805210,147480521,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,(02)2702-3999,台北市大安區敦化南路2段97號B2,勤業眾信聯合會計師事務所,郭慈容,吳世宗,Dynapack,"13F., No. 188, Wenhe Rd., Guishan Dist.Taoyuan City 333,Taiwan, R.O.C",(03)396-3116,無,www.dynapack.com.tw,林郁蕙,財務處資深副總經理,(03)396-3399 #7728,invest@dynapack.com.tw,www.dynapack.com.tw
33,3213,茂訊電腦股份有限公司,茂訊,電腦及週邊設備業,－,新北市深坑區北深路三段250號7樓,23631726,沈頤同,沈頤同,周詠翔,執行副總經理,劉亞萍,(02)2662-6074,79/03/15,93/10/01,新台幣 10.0000元,586855470,58685547,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)2702-3999,台北市大安區106敦化南路二段97號地下二樓,安侯建業聯合會計師事務所,施威銘,陳玫燕,Mildef,"7F, No.250, Sec.3, Pei Shen Rd., Shen Keng Dist.,New Taipei City 222, Taiwan",(02)2664-2662,adal@crete.com.tw,http://www.crete.com.tw/,周詠翔,執行副總經理,(02)2662-6074#501,nelson.chou@crete.com.tw,http://eng.crete.com.tw/stock.htm
34,3217,優群科技股份有限公司,優群,電子零組件業,－,新竹市牛埔南路15之3號,22575850,王朝樑,劉興義,劉興義,總經理,范玉真,03-5302747,76/08/05,93/04/30,新台幣 10.0000元,901042030,90104203,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段 83 號 3F,眾智聯合會計師事務所,王惠民,莊雯秋,ARGOSY,"No.15-3, Neo Pu South Rd.Hsinchu, Taiwan. R.O.C.",03-5307048,argosy@argosy.com.tw,www.argosy.com.tw,范玉真,財務長,03-5302747,jennyfan@argosy.com.tw,www.argosy.com.tw
35,3219,倚強科技股份有限公司,倚強科,其他電子業,－,臺北市大安區和平東路3段63號12樓,86865138,張明杰,張明杰,吳聲皜,財務長,王皓正,(02)2658-2068,81/09/04,93/03/19,新台幣 10.0000元,702839680,70283968,59560757,0,合併,每年,股東會,永豐金證券股份有限公司股務部,(02)2381-6288,臺北市中正區博愛路17號 3 樓,勤業眾信聯合會計師事務所,謝明忠,陳慧銘,Aethertek,"12F., No. 63, Sec. 3, Heping E. Rd. Da'an Dist., Taipei City ,Taipei,Taiwan (R.O.C.)",(02)2658-2098,contact@aether-tek.com,https://www.aether-tek.com/,吳聲皜,財務長,(02)2658-2068,contact@aether-tek.com,https://www.aether-tek.com/
36,3221,台灣嘉碩科技股份有限公司,台嘉碩,通信網路業,－,桃園市平鎮區工業二路三號,16264983,黃鈺同,陳瑞鴻,陳瑞鴻,總經理,李進宏,03-469-0038,86/11/10,95/02/22,新台幣 10.0000元,1028724100,102872410,6000000,0,合併,每年,股東會,凱基證券股份有限公司股務代理部,02-23892999,台北市重慶南路一段2號5樓,安侯建業聯合會計師事務所,游萬淵,陳宜君,TST,"No. 3, Industrial 2nd Rd.Ping-Chen,Taoyuan,Taiwan,R.O.C.",03-469-7532,spokesman@mail.taisaw.com,http://www.taisaw.com,李進宏,財會部資深經理,03-4690038,spokesman@mail.taisaw.com,http://www.taisaw.com
37,3224,三顧股份有限公司,三顧,電子通路業,－,新北市汐止區新台五路一段75號14樓之3,16657495,楊智惠,唐洪德,唐洪德,總經理,詹志聰,(02)2698-3466,87/09/17,93/06/03,新台幣 10.0000元,680160450,68016045,0,0,合併,每年,董事會,康和綜合證券股份有限公司,02-8787-1118,110台北市信義區基隆路一段176號B1,資誠聯合會計師事務所,徐明釧,支秉鈞,MetaTech,"14F-3,NO.75 SEC.1,HSIN TAI WU RDHSI-CHIH,TAIPEI HSIEN,TAIWAN,R.O.C",(02)2698-3344,stock@metatech.com.tw,WWW.METATECH.COM.TW,林文傑,協理,(02)26983466#5006,davidl@metatech.com.tw,WWW.METATECH.COM.TW
38,3227,原相科技股份有限公司,原相,半導體業,－,新竹科學園區新竹縣創新一路五號五樓,16633261,黃森煌,黃森煌,羅美煒,副總經理,蔡秀珍,03-5795317,87/07/13,95/05/04,新台幣 10.0000元,1427969710,142796971,0,0,合併,每年,董事會,宏遠證券股份有限公司,02-2326-8818,台北市信義路四段236號3樓,安永聯合會計師事務所,郭紹彬,邱琬茹,PXI,"5F, No.5, Innovation Road I, Science-Based Industrial ParkHsin-Chu, Taiwan, R.O.C.",03-5794988,ir@pixart.com,http://www.pixart.com,羅美煒,副總經理,03-5795317#1199,ir@pixart.com,http://www.pixart.com.tw/ch/investor_8.asp
