,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
10,2314,台揚科技股份有限公司,台揚,通信網路業,－,新竹市科學園區創新二路一號,47255762,顏信介,吳永欽,季惠霖,財務長,陳姿伶,03-5773335,72/03/31,79/08/08,新台幣 10.0000元,2280283200,228028320,0,0,合併,每年,股東會,台新綜合證券(股)公司股務代理部,0225048125,台北市建國北路一段96號B1,資誠聯合會計師事務所,李典易,林玉寬,MTI,"NO 1, INNOVATION RD.II,Hsinchu Science Park, Hsinchu, TWN",03-5770194,sales@mtigroup.com,https://www.mtigroup.com/zh-tw,陳姿伶,財務經理,03-5773335,ir.contact@mtigroup.com,https://www.mtigroup.com/zh-tw/stakeholder
11,2316,楠梓電子股份有限公司,楠梓電,電子零組件業,－,高雄市楠梓區開發路37號,76026851,徐漢忠,陳志康,呂淑芬,副總經理,陳其男,07-3612116,67/05/02,80/02/05,新台幣 10.0000元,1827405360,182740536,0,0,合併,每年,股東會,統一綜合證券股份有限公司,02-27463797,台北市東興路8號地下一樓,勤業眾信聯合會計師事務所,郭麗園,王兆群,WUS,"No.37, Kaifa Rd.,Nanzih Dist. Kaohsiung City,Taiwan.",07-3613884,investor@wuspc.com,www.wus.com.tw,呂淑芬,副總經理,07-3612116,investor@wuspc.com,http://www.wus.com.tw/index.php/zh-tw/2017-10-18-03-24-45
12,2317,鴻海精密工業股份有限公司,鴻海,其他電子業,－,新北市土城區自由街2號,04541302,劉揚偉,劉揚偉,巫俊毅,特別助理,黃欽旻,(02)2268-3466,63/02/20,80/06/18,新台幣 10.0000元,138629906090,13862990609,0,0,合併,每年,董事會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段６號６樓,資誠聯合會計師事務所,徐永堅,徐聖忠,HON HAI,"2 TZU YU ST.,TU-CHENG CITY,TAIWAN,R.O.C.",(02)2268-6204,stockaffairs@foxconn.com,www.foxconn.com,巫俊毅,特別助理,2268-3466#510-10001,ir@foxconn.com,http://www.honhai.com.tw/Stakeholder/Stakeholder.html
13,2321,東訊股份有限公司,東訊,通信網路業,－,新竹科學園區新竹市研發二路23號,47224065,劉兆凱,陳國榮,李雲祥,資深經理,黃世昌協理,(03)5775141,69/09/25,80/11/08,新台幣 10.0000元,945997770,44599774,0,50000003,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,李典易,鄭雅慧,TECOM,"23,R & D 2 ROAD SCIENCE-BASED INDUSTRIAL PARKHSIN-CHU TAIWAN R.O.C.",(03)5780576,stockaffair@tecom.com.tw,http://www.tecom.com.tw,李雲祥,資深經理,(03)5775141-2205,yhlee@tecom.com.tw,http://www.tecom.com.tw
14,2323,中環股份有限公司,中環,光電業,－,台北市中山區民權西路53號15樓,12205020,翁明顯,翁明顯,陳君煒,財務部資深經理,許雅萍,02-25989890,67/12/02,81/02/17,新台幣 10.0000元,11588812000,1158881200,0,0,合併,每年,股東會,凱基證券股份有限公司,02-23892999,台北市重慶南路一段2號5樓,資誠聯合會計事務所,游淑芬,張淑瓊,CMC,"15th, Fl., 53, Ming Chuan W. Road.,Taipei,Taiwan,R.O.C.",02-25973270,IR@cmcnet.com.tw,http://www.cmcnet.com.tw,許雅萍,代理發言人,02-25989890,ir@cmcnet.com.tw,http://www.cmcnet.com.tw
15,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
16,2324,仁寶電腦工業股份有限公司,仁寶,電腦及週邊設備業,－,台北市內湖區瑞光路581號及581之1號,21222725,許勝雄,翁宗斌,呂清雄,副總經理,王正強,(02)87978588,73/06/01,81/02/18,新台幣 10.0000元,44071466250,4407146625,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,簡思娟,郭冠纓,Compal,"No. 581 & 581-1, Ruiguang Rd., Neihu DistrictTaipei City 11492, Taiwan (R.O.C.)",(02)26591566,Investor@Compal.com,www.compal.com,呂清雄,副總經理,(02)87978588,Investor@Compal.com,http://www.compal.com/stakeholder-communication-area/
17,2327,國巨股份有限公司,國巨,電子零組件業,－,新北市新店區寶橋路233-1號3樓,22636630,陳泰銘,王淡如,宋志翔,投資人關係部協理,楊文翔,(02)6629-9999,76/09/09,82/10/22,新台幣 10.0000元,4959188570,495918857,0,0,合併,每半會計年度,董事會,元富證券(股)公司,(02)2768-6668,台北市松山區光復北路11巷35號B1,勤業眾信聯合會計師事務所,趙永祥,蔡振財,YAGEO,"3F,No.233-1,Pao Chiao Rd.,Xindian Dist., New Taipei City,R.O.C",(02)6628-8882,IR@yageo.com,WWW.YAGEO.COM,宋志翔,投資人關係部協理,(02)6629-9999,IR@yageo.com,WWW.YAGEO.COM
18,2328,廣宇科技股份有限公司,廣宇,電子零組件業,－,新北市新店區安興路97號,03546618,盧松發,盧松發,郭世華,經理,游文玲,2211-3066,60/05/19,82/11/09,新台幣 10.0000元,5183462820,518346282,0,0,合併,每年,董事會,福邦證券股份有限公司,2371-1658,10041台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,阮呂曼玉,馮敏娟,PI,"NO.97,An-shin Rd.Xindian Dist., New Taipei City , Taiwan",2212-0081,john.kuo@panpi.com.tw,www.panintl.com,郭世華,經理,22113066-7740,john.kuo@panpi.com.tw,www.panpi.com.tw/contact-us-contact2.htm
19,2329,華泰電子股份有限公司,華泰,半導體業,－,高雄市楠梓區中三街9號,89004161,董悅明,涂家榮,洪士民,財務處長,賴貞伶,(07)361-3131,60/06/12,83/04/20,新台幣 10.0000元,8257019330,555431933,70784915,270270000,合併,每季,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,王國華,江采燕,OSE,9 Central 3rd. St. N.T.I.P.KAOHSIUNG TAIWAN R.O.C,(07)365-2441,csr@ose.com.tw,www.ose.com.tw,朱蜀詠,會計部部經理,07-3613131#68558,csr@ose.com.tw,https://www.ose.com.tw/about/about-ose/contact/#investment
20,2330,台灣積體電路製造股份有限公司,台積電,半導體業,－,新竹科學園區力行六路8號,22099131,劉德音,總裁: 魏哲家,黃仁昭,副總經理暨財務長,高孟華,03-5636688,76/02/21,83/09/05,新台幣 10.0000元,259303804580,25930380458,0,0,合併,每季,董事會,中國信託商業銀行 代理部,02-6636-5566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,江美艷,林尚志,TSMC,"No. 8, Li-Hsin Rd. 6, Hsinchu Science Park,Hsin-Chu 30078, Taiwan, R.O.C.",03-5797337,invest@tsmc.com,Http://www.tsmc.com,蘇志凱,處長,03-568-2089,jeff_su@tsmc.com,https://esg.tsmc.com/csr/ch/CSR/stakeholder.html
21,2331,精英電腦股份有限公司,精英,電腦及週邊設備業,－,台北市內湖區堤頂大道二段239號,22449566,鍾依文,王金來,鍾逸青,財務長,謝明宏,(02)2162-1177,76/05/06,83/09/21,新台幣 10.0000元,5574029680,557402968,0,0,合併,每半會計年度,董事會,群益金鼎證券股份有限公司,(02)2702-3999,台北市敦化南路二段97號B2,勤業眾信聯合會計師事務所,邱政俊,吳世宗,ECS,"NO.239, SEC2, Ti Ding Blvd.,TAIPEI, TAIWAN 11493",(02)2797-9093,public@ecs.com.tw,http://www.ecs.com.tw,劉小姐,經理,(02)2162-1177,public@ecs.com.tw,http://www.ecs.com.tw/ECSWebSite/Finance/Finance_List.aspx?MenuID=123&childid=M_123&LanID=1
22,2332,友訊科技股份有限公司,友訊,通信網路業,－,台北市內湖區新湖三路289號,22099189,郭金河,陳瑋駿,張家瑞,執行長,許卉妃,02-66000123,76/06/20,83/10/17,新台幣 10.0000元,5998364730,599836473,0,0,合併,每年,董事會,元大證券股務代理部,02-2586-3117,台北市大同區承德路三段210號B1.B2,安侯建業會計師事務所,周寶蓮,謝秋華,D-LINK,"No. 289, Xinhu 3rd Rd, Neihu DistrictTaipei City, Taiwan, R.O.C.",02-27900977,ir@dlinkcorp.com,www.dlink.com.tw,余惠娟,副處長,886-2-6600-0123,ir@dlinkcorp.com,http://www.dlinktw.com.tw/about/dlink/18
23,2337,旺宏電子股份有限公司,旺宏,半導體業,－,新竹科學園區新竹巿力行路16號,22099548,吳敏求,盧志遠,吳敏求,董事長兼執行長,葉沛甫,03-5786688,78/12/09,84/03/15,新台幣 10.0000元,18560178020,1856017802,55651,0,合併,每年,股東會,旺宏電子(股)公司股務室,02-25638128,台北市中山區松江路162之1號2樓,勤業眾信聯合會計師事務所,葉東煇,洪國田,Macronix,"No.16, Li-Hsin Road, Hsinchu Science ParkHsinchu, Taiwan, R.O.C.",02-25638685,ir@mxic.com.tw,http://www.macronix.com,陳柏光,處長,03-5786688,ir@mxic.com.tw,https://www.macronix.com/zh-tw/about/CSR/Pages/stakeholder.aspx
24,2338,台灣光罩股份有限公司,光罩,半導體業,－,新竹市科學園區創新一路十一號,22099408,陳正翔,陳立惇,林良桔,資訊服務部處長,蔡佳芸,(03)563-4370,77/10/21,84/04/17,新台幣 10.0000元,2527136110,252713611,0,0,合併,每年,股東會,福邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路一段六號六樓,資誠聯合會計事務所,李典易,鄭雅慧,TMC,"NO.11 INNOVATION RD.1,SCIENCE-BASE INDUSTRIAL PARK,HSINCHU",(03)578-0752,無,http://www.tmcnet.com.tw,蔡佳芸,財務部經理,03)563-4370#118,Megan@tmcnet.com.tw,http://www.tmcnet.com.tw/Eng/EngIndex-stakeholder.htm
25,2340,台亞半導體股份有限公司,台亞,光電業,－,新竹科學園區新竹市力行五路1號,47255947,王虹東,黃年宏,戴菁甫,協理,李柏龍,(03)5638951,72/12/21,84/05/02,新台幣 10.0000元,4386228460,438622846,60000000,0,合併,每年,董事會,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1,資誠聯合會計師事務所,江采燕,賴宗羲,OPTOTECH,"NO.1, Li-hsin Rd.V,Hsinchu Science Park,Hsinchu, Taiwan, R.O.C.",03-5783696,stock@opto.com.tw,http://www.opto.com.tw/,戴菁甫,協理,03-5638951,stock@opto.com.tw,http://www.optotech.com.tw/communicate.aspx
26,2342,台灣茂矽電子股份有限公司,茂矽,半導體業,－,新竹市科學園區研新一路一號,22099110,唐亦仙,唐亦仙,鄧志達,副總經理,鄧志達,(03)578-3344,76/01/08,84/09/19,新台幣 10.0000元,1561567440,156156744,38000000,0,合併,每半會計年度,董事會,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,鄭雅慧,謝智政,MVI,"No. 1 Creation Rd. 1, Science-Based Industrial Park,Hsinchu, Taiwan, R.O.C.",(03)566-5888,IR@mail.mosel.com.tw,http://www.mosel.com.tw,曾星于,專案副理,03-5783344,IR@mail.mosel.com.tw,http://www.mosel.com.tw/about_csr.asp?left_n=1
27,2344,華邦電子股份有限公司,華邦電,半導體業,－,台中市大雅區中部科學園區科雅一路8號,22099218,焦佑鈞,陳沛銘,黃求己,財務長,范祥雲/吳孟奇,(04)25218168,76/09/29,84/10/18,新台幣 10.0000元,39800001930,3980000193,0,0,合併,每半會計年度,董事會,華邦電子股份有限公司股務辦事處,(02)27905885,台北市內湖區行善路398號8樓,勤業眾信聯合會計師事務所,洪國田,徐文亞,WEC,"No.8, Keya 1st Rd., Daya Dist.,Taichung City, Taiwan, R.O.C",(03)5796119,YCWang16@WINBOND.COM,WWW.WINBOND.COM,陳姿諭,經理,(03)5678168ext.71002,IR@winbond.com,WWW.WINBOND.COM
28,2345,智邦科技股份有限公司,智邦,通信網路業,－,新竹市科學工業園區研新三路一號,22099287,寬鑫投資(股)公司,馬思睿,林信玄,資深協理,陳慧玲,(03)5770270,77/02/09,84/11/15,新台幣 10.0000元,5598473970,559847397,0,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,台北市承德路三段210號地下一樓,勤業眾信聯合會計師事務所,林政治,鍾鳴遠,ACCTON,"1 Creation 3rd Rd., Hsinchu Science ParkHsinchu 30077, Taiwan, R.O.C.",(03)5637261,accton@accton.com,http://www.accton.com,林信玄,資深協理,(03)5770270-1526,IR@accton.com,http://www.accton.com.tw/interested.asp
29,2347,聯強國際股份有限公司,聯強,電子通路業,－,台北市民生東路3段75號4樓,23060541,苗豐強,杜書伍,杜書全,事業開發暨策略副總裁,陳怡如,2506-3320,77/09/12,84/12/13,新台幣 10.0000元,16679469680,1667946968,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路1段83號5樓,資誠聯合會計師事務所,葉翠苗,梁益彰,Synnex,"4th Fl., 75, Sec. 3, Ming-Sheng E. Rd.,Taipei, Taiwan, R.O.C.",2505-6934,evelynchen@synnex.com.tw,http://www.synnex-grp.com/,陳怡如,財務副總監,2506-3320,evelynchen@synnex.com.tw,http://www.synnex-grp.com/g03_corporate_02.html
30,2349,錸德科技股份有限公司,錸德,光電業,－,新竹縣湖口鄉光復北路42號,23218873,葉垂景,葉垂景,葉垂景,董事長兼執行長,吳孟翰、潘燕民,03-5985696,77/12/29,85/04/23,新台幣 10.0000元,6936796630,693679663,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓 https://www.tssco.com.tw/,安永聯合會計師事務所,徐榮煌,涂嘉玲,RITEK,NO.42 KUANGFU N.RD HSINCHU INDUSTRIAL PARKHSINCHU COUNTY TAIWAN R.O.C,03-5979963,personal@ritek.com.tw,http://www.ritek.com.tw,吳孟翰,副總經理,03-5985696-8776,John.wu@ritek.com.tw,http://www.ritek.com.tw
31,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
32,2351,順德工業股份有限公司,順德,半導體業,－,彰化市大竹里彰南路二段260號,58506816,陳朝雄,陳維德,陳朝興,副總經理,黃瑞杰,04-7383991,56/10/17,85/04/25,新台幣 10.0000元,1821402490,182140249,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號B2,國富浩華聯合會計師事務所,楊貞瑜,林明壽,SDI,"260,Sec.2,Chang Nan RoadChang Hua,Taiwan, R.O.C",04-7320588,stock@email.sdi.com.tw,www.sdi.com.tw,葉芳伶,投資人關係副理,04-7383991,Invest@email.sdi.com.tw,www.sdi.com.tw
33,2352,佳世達科技股份有限公司,佳世達,電腦及週邊設備業,－,桃園市龜山區山鶯路157號,12490306,陳其宏,陳其宏,洪秋金,財務長,王立善,03-3598800,73/04/21,85/07/22,新台幣 10.0000元,19667819580,1966781958,0,0,合併,每年,董事會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,安侯建業聯合會計師事務所,張惠貞,施威銘,Qisda,"157 Shan-Ying Road,Gueishan, Taoyuan 333, Taiwan,R.O.C.",03-3593389,Investor@Qisda.com,Qisda.com.tw,王立善,投資處長,03-3598800#3202,Investor@Qisda.com,http://www.qisda.com.tw/page.aspx?uid=50
34,2353,宏碁股份有限公司,宏碁,電腦及週邊設備業,－,台北市松山區復興北路369號7樓之5,20828393,陳俊聖,陳俊聖,陳怡如,財務長,張鉅靈,(02)27195000,65/08/01,85/09/18,新台幣 10.0000元,30478538280,3047853828,0,0,合併,每年,董事會,宏碁股份有限公司股務室,(02)27195000,台北市松山區復興北路369號7樓之5,安侯建業聯合會計師事務所,張惠貞,唐慈杰,ACER,"7F-5, 369, Fuxing N. Rd.Taipei 105, Taiwan, R.O.C.",(02)87125519,stock.affairs@acer.com,http://www.acer.com,張家菲,處長,(02)26961234,investor.relations@acer.com,https://www.acer-group.com/ag/zh/TW/content/stakeholder-grievance-mechanism
35,2354,鴻準精密工業股份有限公司,鴻準,其他電子業,－,新北市土城區中山路3-2號,23707801,呂軍甫,李翰明,劉正光,發言人,劉正光,22680970,79/04/26,85/10/08,新台幣 10.0000元,14144851920,1414485192,0,0,合併,每年,董事會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段６號６樓,資誠聯合會計師事務所,馮敏娟,徐潔如,FTC,"NO.3-2 Chung-Shan Rd.Tu-Cheng City,Taipei Shein. R.O.C.",22687176,ftc@foxconn.com,www.foxconntech.com.tw,劉正光,投資管理部經理,02-22681700,c.k.liu@foxconn.com,http://www.foxconntech.com.tw/invest6-6.aspx
36,2355,敬鵬工業股份有限公司,敬鵬,電子零組件業,－,桃園縣蘆竹鄉內厝村3鄰內厝街46號,43816068,曾劉玉枝,黃松麟,蕭公彥,經理,黃郁雅,03-3222226,68/09/26,85/10/14,新台幣 10.0000元,3974954200,397495420,0,0,合併,每年,股東會,康和綜合證券股份有限公司,02- 87871888,110台北市信義區基隆路一段176號B1,安侯建業聯合會計師事務所,呂莉莉,王勇勝,CHIN-POON,"NO.46, NEI-TSUOH ST., 3RD LIN.,NEI-TSUOH VILLAGE, LU-CHU COUNTYTAO-YUAN HSIEN, TAIWAN, R.O.C",03-3218064,spokesman@cppcb.com.tw,http://www.cppcb.com.tw,蕭公彥,經理,03-3222226,spokesman@cppcb.com.tw,http://www.chinpoon.com.tw/_chinese/html/8_mail/0_overview.php
37,2356,英業達股份有限公司,英業達,電腦及週邊設備業,－,北市後港街六十六號,04322046,卓桐華,巫永財,游進寶,副總經理,巫永財,28810721,64/06/09,85/11/13,新台幣 10.0000元,35874750660,3587475066,0,0,合併,每年,董事會,台新證券股務代理部,25048125,北市建國北路一段九十六號地下一樓,安侯建業聯合會計師事務所,林琬琬,郭柔蘭,INVENTEC,"66,Hou-Kang StreetTaipei,Taiwan,R.O.C",28828086,iec@inventec.com,https://www.inventec.com/,張舋之,經理,28810721#21656,Chang.Ada@inventec.com,https://www.inventec.com/tw/csr-5
38,2357,華碩電腦股份有限公司,華碩,電腦及週邊設備業,－,台北市北投區立德路15號,23638777,施崇棠,許先越/胡書賓,吳長榮,財務長,宋致皓,(02)28943447,79/04/02,85/11/14,新台幣 10.0000元,7427602800,742760280,0,0,合併,每年,股東會,凱基證券(股)公司股務代理部,(02)23892999,台北市重慶南路一段2號5樓,資誠聯合會計師事務所,周建宏,林鈞堯,ASUSTEK,"No. 15, Li-Te Rd., PeitouTaipei 112, Taiwan, R.O.C.",(02)28926140,investor@asus.com,http://www.asus.com.tw,吳長榮,財務長,(02)28943447,investor@asus.com,http://csr.asus.com/chinese/index.aspx#121
