9,6804,明係事業股份有限公司,明係,其他,－,彰化縣大村鄉大橋村中山路三段1 號,05839152,江永平,黃慶忠,吳佩純,財務協理,趙珮君,048535898,74/12/30,109/12/02,新台幣 10.0000元,274000000,27400000,0,0,個別,每年,股東會,兆豐證券股份有限公司股務代理部,0233930898,台北市忠孝東路二段95號1樓,國富浩華聯合會計師事務所,邵朝彬,楊貞瑜,Axman,"No. 1, Sec. 3, Zhongshan Rd., Dacun Township,Changhua County, 515 Taiwan (R.O.C)",048531299,ir@axman-bike.com,www.axman.com.tw,－,－,－,－,www.axman.com.tw
10,6832,金鼎聯合科技纖維股份有限公司,金鼎科,其他,－,臺中市后里區泉州路2之9號,12854740,林瑞岳,蕭金沐,徐士雯,經理,林祥鳳,04-25581201,90/04/17,110/09/29,新台幣 10.0000元,218269870,21826987,0,0,合併,每年,股東會,日盛證券股份有限公司,02-25419977,臺北市中山區南京東路二段85號7樓,安侯建業聯合會計師事務所,韓沂璉,曾國禓,KING'S,"No. 2-9, Quanzhou Rd., Houli Dist.,Taichung City 420020 , Taiwan (R.O.C.)",04-25581721,investment@kingsmetalfiber.com,http://www.kingsmetalfiber.com,－,－,－,－,http://www.kingsmetalfiber.com
11,6837,富利康科技股份有限公司,富利康科技,其他,－,高雄市大寮區華東路19號,54214275,林莉芳,王景良,王景良,代理總經理,楊佳芳,07-7889990,102/10/11,110/09/29,新台幣 10.0000元,323045000,32304500,0,0,個別,每年,股東會,宏遠證券股份有限公司,(02)2326-8818,台北市信義路四段236號3樓,勤業眾信聯合會計師事務所,陳珍麗,許凱甯,FLKCAT,"No.19, Huadong Rd.DaLiao Dist., Kaohsiung City Taiwan",07-7889991,flkcat@cat-filter.com,http://www.cat-filter.com,－,－,－,－,http://www.cat-filter.com
12,6873,泓德能源科技股份有限公司,泓德能源,其他,－,臺中市西屯區朝富路213號28樓之2、之3,45877096,謝源一,周仕昌,王彥翔,投資人關係部協理,陳映竹,(04)22558858,105/05/16,110/12/28,新台幣 10.0000元,700000000,70000000,0,0,合併,每年,股東會,永豐金證券股份有限公司,(02)23816288,台北市中正區博愛路17號3樓,安侯建業聯合會計師事務所,呂倩慧,黃海寧,HDRE,"28F.-2&-3, No.213, Chaofu Rd., Xitun Dist.,Taichung City, Taiwan",(04)22555319,ir@hdrenewables.com,https://www.hdrenewables.com/,－,－,－,－,-
13,7443,凡事康流體科技股份有限公司,凡事康,其他,－,屏東市前進里經建路21號,70401437,賴炎村,賴炎村,賴炎村,總經理,李俊穎,08-7558557,89/05/19,105/02/15,新台幣 10.0000元,220000000,22000000,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,勤業眾信聯合會計師事務所,江佳玲,陳珍麗,FLUXTEK,"NO21, Jingjian Road.Pingtung City, 900, Taiwan,R.O.C.",08-7537100,finance@fluxtek.com,http://www.fluxtek.com,－,－,－,－,http://www.fluxtek.com/investment/index.php
14,7507,環拓科技股份有限公司,環拓科技,其他,－,屏東縣枋寮鄉東海村永翔路25號,27695279,袁連惟,吳俊耀,林煥騰,副總經理,袁梓鈞,08-8663546,94/10/26,109/03/20,新台幣 10.0000元,1020999740,102099974,0,0,合併,每年,股東會,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號B1,安侯建業聯合會計師事務所,許振隆,楊博任,ENRESTEC INC.,"NO.25,YONGXIANG RD;FANGLIAO TOWNSHIP,PINGTUNG COUNTY 940,TAIWAN(ROC)TAIWAN(ROC)",08-8664911,info@enrestec.com.tw,www.enrestec.com.tw,－,－,－,－,www.enrestec.com.tw
15,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
16,7516,清淨海生技股份有限公司,清淨海,其他,－,桃園市平鎮區關爺東路43號,28646868,李臺平,翁惠美,翁惠美,總經理,徐捷凡,(03)468-8698,96/04/18,107/12/24,新台幣 10.0000元,193089280,19308928,0,0,合併,每年,股東會,兆豐證券股份有限公司股務代理部,(02)3393-0898,台北市忠孝東路二段95號1樓,安侯建業聯合會計師事務所,張淑瑩,陳國宗,Sea Mild,"No.43 Guanye E. Rd.,Pingzhen Dist., Taoyuan City 324, Taiwan",(03)468-6746,investment@seamild.com.tw,www.seamild.com.tw,－,－,－,－,www.seamild.com.tw
17,7558,群利科技股份有限公司,群利科技,其他,－,台北市內湖區洲子街79-1號3樓之1,24467961,王聖(敏心),王聖(敏心),王聖(敏心),總經理,張家豪,02-26579888,98/10/01,110/05/03,新台幣 10.0000元,186207570,18620757,0,0,個別,每年,股東會,元大證券股份有限公司,02-25865859,台北市大同區承德路三段210號B1,勤業眾信聯合會計師事務所,黃海悅,張耿禧,BRYTON,"3F-1.,No.79-1,Zhouzi St. Neihu DistTaipei city",02-26271295,ir@brytonsport.com,http://www.brytonsport.com,－,－,－,－,-
18,8438,昶昕實業股份有限公司,昶昕,其他,－,33845 桃園市蘆竹區福昌里忠孝西路185號2樓,23509611,陳國金,陳彥亨,陳彥亨,總經理,黃育賢,033541009,78/10/23,101/02/20,新台幣 10.0000元,628990000,62899000,0,0,合併,每年,股東會,中國信託商業銀行-代理部,0266365566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,林宜慧,曾建銘,AMIA,"No.19, Dagong Rd., Dayuan Dist.Taoyuan City, Taiwan",033543793,more.huang@persee.com.tw,http://www.persee.com.tw,－,－,－,－,建置中
